BPM Serial No.	16elec																					
BPM Size	110																					
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																					
Meas. Start Time	2016/10/1421:09																					
Meas. Finish Time	2016/10/1421:23																					
Linear Scale Origin X(mm)	-102.6																					
Linear Scale Origin Y(mm)	110.258																					
note																						
																						
																						
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Linear Scale X (mm)		-122.601	-102.602	-82.601	-142.604	-122.604	-102.602	-82.601	-62.6	-142.604	-122.604	-102.602	-82.601	-62.599	-142.604	-122.604	-102.602	-82.601	-62.6	-122.601	-102.602	-82.601
Linear Scale Y (mm)		70.259	70.259	70.259	90.255	90.255	90.255	90.255	90.255	110.255	110.255	110.255	110.255	110.255	130.254	130.254	130.254	130.254	130.254	150.254	150.254	150.254
R(beam)[mm]		20.001	0.002	-19.999	40.004	20.004	0.002	-19.999	-40	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40	20.001	0.002	-19.999
Y(beam)[mm]		-39.999	-39.999	-39.999	-20.003	-20.003	-20.003	-20.003	-20.003	-0.003	-0.003	-0.003	-0.003	-0.003	19.996	19.996	19.996	19.996	19.996	39.996	39.996	39.996
Net Ana Temperature[℃]		23.83301999	23.78037653	23.75734095	23.70031161	23.6667437	23.63669956	23.60980784	23.58419631	23.48076344	23.42771748	23.38921319	23.35836146	23.32485069	23.29956635	23.31016359	23.33066476	23.35676188	23.38603739	23.464765	23.47720332	23.5118281
BPM Temperature[℃]		21.24040509	21.20072708	21.17665541	21.13874318	21.12194235	21.08262789	21.04938977	21.03279668	20.96567125	20.943651	20.91215269	20.89727344	20.8902363	20.92656453	20.96546352	20.99672812	21.03438068	21.07579849	21.16837185	21.20018177	21.23318619
Frequency (Hz) / Data (dB)	850000	-32.18590448	-35.3094639	-40.38528011	-38.671666	-37.10118662	-38.5640634	-41.91010268	-46.69953981	-43.17106933	-41.58403944	-42.19999335	-44.53903997	-48.39350009	-47.80564206	-46.03348513	-46.26577536	-48.07610891	-51.47679089	-51.11219204	-51.00004697	-52.61697437
	1700000	-26.37152795	-29.49498968	-34.56853684	-32.89099921	-31.31290685	-32.74826384	-36.07888424	-40.82899639	-37.34588714	-35.76878434	-36.3868644	-38.71759507	-42.55847522	-41.93303809	-40.1866826	-40.41716426	-42.21068188	-45.55952359	-45.18412169	-45.08772588	-46.6410206
	2550000	-22.99490369	-26.1188444	-31.20827516	-29.52995081	-27.94609769	-29.37757335	-32.70518717	-37.46216305	-33.97192417	-32.39877705	-33.0192608	-35.35067471	-39.17804481	-38.55243067	-36.81301714	-37.03646653	-38.82560594	-42.19126753	-41.8114246	-41.70178936	-43.25894606
	3400000	-20.60604168	-23.73372431	-28.82347335	-27.14994768	-25.56406764	-26.98969806	-30.31538923	-35.0772205	-31.58688485	-30.01196648	-30.63821299	-32.96439589	-36.79699281	-36.17431223	-34.42261908	-34.64817287	-36.44513659	-39.81062228	-39.42423387	-39.30188691	-40.88173037
	4250000	-18.74997286	-21.879007	-26.97026676	-25.30066015	-23.71111853	-25.13356168	-28.45930519	-33.22283991	-29.73197995	-28.15534664	-28.78187003	-31.11045947	-34.94882934	-34.3258929	-32.56974294	-32.79001992	-34.59044435	-37.95893389	-37.57241461	-37.44570825	-39.02699721
	5100000	-17.23128727	-20.35973316	-25.45576343	-23.78829918	-22.19307351	-23.6143572	-26.943005	-31.71341737	-28.22129478	-26.63652528	-27.26575348	-29.59429714	-33.43743283	-32.81251265	-31.05563076	-31.27017852	-33.0780048	-36.45704985	-36.06526601	-35.94721919	-37.51803697
	5950000	-15.93967284	-19.06873536	-24.1686049	-22.50177475	-20.90368523	-22.32283517	-25.65181211	-30.42648415	-26.93105745	-25.34436346	-25.9755284	-28.30769733	-32.15401894	-31.5284515	-29.76577824	-29.98452682	-31.78785405	-35.17348177	-34.78666487	-34.65979862	-36.23412534
	6800000	-14.82147768	-17.95025153	-23.05215476	-21.38676465	-19.78649664	-21.20538333	-24.53350126	-29.31147288	-25.81426638	-24.20039823	-24.85574116	-27.19066173	-31.04294495	-30.41247476	-28.64375016	-28.86568978	-30.66904386	-34.05792667	-33.66676628	-33.54452917	-35.12125801
	7650000	-13.81753961	-16.9571505	-22.05049264	-20.39084183	-18.79354819	-20.21244495	-23.54182762	-28.32137935	-24.81545871	-23.2280814	-23.86527664	-26.19358532	-30.05012662	-29.41556067	-27.65681279	-27.86432873	-29.66723469	-33.06955354	-32.66487467	-32.53915958	-34.13146264
	8500000	-12.90894268	-16.04425874	-21.13822999	-19.47884307	-17.88113962	-19.30280412	-22.62594542	-27.40379961	-23.90891454	-22.31849712	-22.95807111	-25.28383223	-29.13861888	-28.51116427	-26.74513642	-26.95968532	-28.7624479	-32.15778491	-31.7575257	-31.63876509	-33.21664614
	9350000	-12.05174474	-15.1872561	-20.28742603	-18.62395785	-17.03284231	-18.45128422	-21.77400808	-26.54757217	-23.05354247	-21.47000781	-22.10873756	-24.43484778	-28.28447557	-27.6531356	-25.89417553	-26.1105911	-27.9106868	-31.30501938	-30.90422122	-30.7795816	-32.3585299
	10200000	-11.24200978	-14.38066502	-19.48055756	-17.81594205	-16.23064117	-17.65062001	-20.97406164	-25.73967533	-22.24803415	-20.67005576	-21.31125907	-23.63880214	-27.48312299	-26.84449154	-25.09442242	-25.31090996	-27.10836087	-30.49759153	-30.09785804	-29.97690352	-31.55410077
	11050000	-10.47709349	-13.6182688	-18.71746006	-17.05349694	-15.47399732	-16.89479476	-20.21742279	-24.97855051	-21.48831064	-19.9163404	-20.55834876	-22.88543751	-26.72056825	-26.07917497	-24.33516475	-24.55537921	-26.35188632	-29.73739183	-29.33746032	-29.21821455	-30.7866003
	11900000	-9.754068884	-12.89845243	-17.99581195	-16.33262796	-14.76008014	-16.18283131	-19.5037348	-24.2590827	-20.76985617	-19.20498898	-19.84896539	-22.17447534	-26.0055326	-25.35930492	-23.62355834	-23.84532558	-25.64158886	-29.01641164	-28.61944991	-28.50115587	-30.07044556
	12750000	-9.071967489	-12.2194254	-17.31594261	-15.65301708	-14.08676304	-15.51111127	-18.83170407	-23.57893853	-20.09121222	-18.53210506	-19.18072202	-21.5059816	-25.32759236	-24.6765493	-22.94823592	-23.17378329	-24.96397737	-28.33759539	-27.93980695	-27.82623483	-29.3894948
	13600000	-8.430096564	-11.58086763	-16.67508385	-15.01271771	-13.45371534	-14.87924568	-18.1979502	-22.93824811	-19.45318855	-17.9016215	-18.55097183	-20.87470597	-24.69279827	-24.03841009	-22.31635719	-22.5430628	-24.3339149	-27.7022759	-27.30129798	-27.18679056	-28.75004982
	14450000	-7.811781769	-10.96322914	-16.08050918	-14.39083049	-12.8397291	-14.28493276	-17.60896875	-22.34388944	-18.86086202	-17.32037192	-17.96088985	-20.28937023	-24.07747111	-23.44467693	-21.72504731	-21.93352878	-23.72314759	-27.08289393	-26.70812881	-26.59272855	-28.15755449
	15300000	-7.285565765	-10.43679018	-15.53083739	-13.87048981	-12.31833909	-13.75777622	-17.07305007	-21.80630044	-18.2907903	-16.77990879	-17.43585666	-19.75474205	-23.55726948	-22.90630289	-21.16179478	-21.40829336	-23.20350109	-26.56225972	-26.16059943	-26.05820943	-27.61456466
	16150000	-6.775926763	-9.931891983	-15.02761567	-13.33827279	-11.81443283	-13.24657712	-16.56579096	-21.29649607	-17.80681393	-16.27087537	-16.92594778	-19.24583717	-23.02829254	-22.39617415	-20.6735014	-20.90744243	-22.69654316	-26.05492703	-25.65557234	-25.55176228	-27.10569013
	17000000	-6.294105265	-9.450190088	-14.54635071	-12.87677996	-11.33156097	-12.7615399	-16.08066996	-20.81470192	-17.32556355	-15.78675419	-16.44083138	-18.76487279	-22.56343856	-21.91253652	-20.1930829	-20.42597971	-22.21266075	-25.57550884	-25.17324393	-25.06685834	-26.62825722
	17850000	-5.8424777	-8.998966509	-14.09535234	-12.4292129	-10.88136493	-12.31130439	-15.62825143	-20.36223286	-16.87559417	-15.33604459	-15.99071613	-18.31229067	-22.11622466	-21.45968395	-19.74340854	-19.97413273	-21.76227613	-25.12266337	-24.72254196	-24.61476933	-26.17528305
