BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2016/10/1418:06																																																																																																	
Meas. Finish Time	2016/10/1418:53																																																																																																	
Linear Scale Origin X(mm)	-102.6																																																																																																	
Linear Scale Origin Y(mm)	110.258																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-122.601	-112.603	-102.602	-92.601	-82.601	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.599	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.602	-72.601	-62.6	-52.598	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.601	-62.6	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-122.601	-112.603	-102.602	-92.601	-82.601
Linear Scale Y (mm)		60.259	60.259	60.259	60.259	60.259	70.256	70.256	70.256	70.256	70.256	70.256	70.256	80.255	80.255	80.255	80.255	80.255	80.255	80.255	80.255	80.255	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	140.254	140.255	140.255	140.255	140.255	140.255	140.255	140.255	140.255	150.254	150.254	150.255	150.255	150.255	150.255	150.255	160.254	160.255	160.255	160.255	160.255
R(beam)[mm]		20.001	10.003	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40.001	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.998	-29.999	-40	-50.002	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-29.999	-40	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	20.001	10.003	0.002	-9.999	-19.999
Y(beam)[mm]		-49.999	-49.999	-49.999	-49.999	-49.999	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	29.996	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	39.996	39.996	39.997	39.997	39.997	39.997	39.997	49.996	49.997	49.997	49.997	49.997
Net Ana Temperature[℃]		23.28217086	23.30835108	23.31725526	23.34720073	23.34869644	23.40622695	23.45069592	23.49094002	23.50307972	23.52619579	23.56463516	23.5707167	23.70334459	23.69493119	23.72931446	23.75199688	23.7830979	23.81830434	23.83915606	23.86829135	23.89096339	23.97618541	23.9448429	23.93537263	23.90615165	23.85570241	23.82569982	23.78520384	23.76367697	23.70808881	23.67913269	23.63959751	23.52062581	23.47663204	23.4444482	23.42237081	23.35957933	23.39343287	23.3034952	23.28144378	23.2587328	23.25472864	23.2284134	23.22641392	23.2435679	23.23313944	23.22439366	23.24442223	23.25811218	23.27951441	23.29474942	23.31985458	23.33369774	23.36508439	23.44019216	23.46421449	23.47104908	23.48718255	23.50991431	23.54346923	23.59209556	23.64609192	23.65648403	23.68353674	23.73919501	23.91898208	23.90596209	23.8961932	23.92410283	23.95384056	23.96080758	23.96387172	23.95383796	23.93205142	23.88511036	23.87259413	23.74276292	23.69162296	23.6664321	23.62437029	23.58762659	23.56049857	23.51589717	23.49862114	23.46471566	23.37483511	23.33669437	23.29659829	23.2720644	23.24353934	23.22186185	23.17118411	23.20830693	23.21138406	23.22512334	23.23270579	23.23367437
BPM Temperature[℃]		21.20820566	21.28821085	21.27424046	21.30347962	21.32877175	21.35019475	21.356349	21.36665801	21.38688652	21.39275513	21.40181771	21.42295508	21.47138406	21.5069852	21.52178655	21.53726305	21.5663464	21.58917164	21.61877434	21.63570501	21.65624513	21.63341989	21.6028564	21.55907556	21.5353155	21.46974812	21.42884965	21.38018696	21.33882109	21.29672812	21.26115295	21.22858998	21.13830174	21.11152947	21.06733316	21.02529213	20.99893534	20.97969359	20.97912231	20.9575435	20.92752532	20.90794599	20.92633082	20.92482472	20.93609452	20.95816671	20.98101792	21.01924176	21.03567904	21.06273695	21.10381719	21.12529213	21.16188003	21.17899247	21.26255518	21.28647105	21.30916645	21.33243313	21.35824461	21.38878213	21.41599585	21.44700078	21.47579849	21.50628408	21.54240457	21.62194235	21.64463776	21.66915087	21.67800571	21.68000519	21.65907556	21.62487666	21.57408465	21.52350039	21.46522981	21.41399636	21.26535965	21.20750454	21.16850169	21.13835367	21.08948325	21.04731239	20.98486108	20.93697741	20.90101272	20.84297585	20.81116593	20.79093742	20.76076344	20.75790704	20.75603739	20.7576214	20.83206959	20.86548948	20.90202545	20.93134251	20.97195534
Frequency (Hz) / Data (dB)	850000	-40.9950836	-42.99839067	-45.09085456	-47.28932081	-49.69590587	-36.40934865	-38.74256839	-40.97751196	-43.21937651	-45.43916403	-47.8408631	-50.41219914	-32.23414575	-35.04048999	-37.53523249	-39.85898159	-42.09978494	-44.27784978	-46.58762658	-49.15525294	-52.01216332	-29.30056054	-32.21536587	-34.82934111	-37.17721605	-39.4654859	-41.64491941	-43.82657873	-46.08250776	-48.4115395	-51.20428935	-54.27043232	-31.37852512	-33.40254476	-35.53521976	-37.61365562	-39.69335311	-41.745942	-43.78683696	-45.95962965	-48.29929973	-50.86665692	-53.84868427	-34.21598158	-35.37577381	-36.9122926	-38.61982553	-40.4226232	-42.32064913	-44.25198496	-46.317027	-48.58641941	-51.03934166	-53.94362104	-37.33168077	-37.77481924	-38.81289477	-40.06316908	-41.61919736	-43.31194203	-45.0944343	-47.04762292	-49.20652159	-51.62648633	-54.53106214	-40.57327062	-40.4942513	-41.0346357	-41.97902892	-43.23099198	-44.67444969	-46.332538	-48.1834703	-50.23575886	-52.67303286	-55.60888763	-43.40345751	-43.59300978	-44.19047785	-45.17232352	-46.3502883	-47.93254903	-49.65610744	-51.68795363	-54.16125561	-46.53153344	-46.78767211	-47.45149531	-48.56874423	-49.88634999	-51.59962301	-53.71626157	-49.91028228	-50.38522133	-51.25976412	-52.51557852	-54.18202713
	1700000	-35.18366072	-37.17307752	-39.24259211	-41.44193405	-43.82291096	-30.60861275	-32.93195719	-35.15755978	-37.36967766	-39.59987451	-41.95350237	-44.50786223	-26.43318185	-29.23285027	-31.72069398	-34.04193153	-36.27398254	-38.45623427	-40.7594946	-43.25553115	-46.03078769	-23.49245498	-26.40605356	-29.01510156	-31.37286719	-33.64524067	-35.81666502	-37.98907002	-40.22158764	-42.57045856	-45.222275	-48.30300701	-25.57063092	-27.59627325	-29.71748464	-31.81174302	-33.86856447	-35.90496584	-37.95629586	-40.11174199	-42.41309334	-44.93601612	-47.85827379	-28.40285363	-29.56228465	-31.10204489	-32.80968219	-34.60877299	-36.47577518	-38.41011722	-40.44628696	-42.65439965	-45.10231844	-47.9673701	-31.53040191	-31.96664142	-32.98454438	-34.25941162	-35.797497	-37.45752812	-39.25141359	-41.16994068	-43.29859371	-45.70252488	-48.53340996	-34.79315652	-34.68279289	-35.2058156	-36.15746604	-37.39824036	-38.83316801	-40.45836338	-42.28020394	-44.3450061	-46.7084499	-49.57173769	-37.61716375	-37.74921273	-38.35940569	-39.31560073	-40.52365557	-42.04967228	-43.76850499	-45.76434897	-48.16663337	-40.67495839	-40.94512269	-41.61460046	-42.68387888	-44.00644624	-45.70026011	-47.71261443	-44.04237035	-44.47421569	-45.32958864	-46.5745048	-48.1956608
	2550000	-31.82374089	-33.80357528	-35.87685777	-38.07190161	-40.45854598	-27.24382714	-29.56520836	-31.78964431	-34.0007081	-36.22859023	-38.57889396	-41.12768175	-23.06418853	-25.86556121	-28.35004863	-30.67228068	-32.90545366	-35.09625439	-37.39159016	-39.88565483	-42.63664871	-20.11907092	-23.03422106	-25.64226073	-28.00669732	-30.27318732	-32.44895834	-34.61579101	-36.8502974	-39.19098305	-41.85602163	-44.90951569	-22.19718762	-24.2222803	-26.34332925	-28.43648826	-30.49499567	-32.53463092	-34.58911677	-36.74505189	-39.02972432	-41.56087924	-44.49138996	-25.03719613	-26.18961553	-27.73118835	-29.44103403	-31.23674081	-33.10984834	-35.04051504	-37.07668553	-39.29106853	-41.72162095	-44.58463222	-28.16639082	-28.5992934	-29.60933181	-30.89974158	-32.42604005	-34.09082292	-35.87723964	-37.7834729	-39.91395519	-42.31849005	-45.13330551	-31.44038977	-31.31798888	-31.84333504	-32.78962541	-34.02301909	-35.45785071	-37.08441237	-38.89585617	-40.9584721	-43.31900385	-46.16769224	-34.26217354	-34.37998297	-34.99372974	-35.94210348	-37.15356112	-38.65736672	-40.37643701	-42.38962894	-44.78664455	-37.31357993	-37.57346352	-38.2394502	-39.30243922	-40.64127713	-42.2999281	-44.33336066	-40.67255634	-41.09386765	-41.96464715	-43.20778523	-44.82583189
	3400000	-29.44633839	-31.42172007	-33.49084417	-35.68215457	-38.07608964	-24.86009684	-27.18232876	-29.40772755	-31.61263635	-33.84222614	-36.19119767	-38.75113795	-20.6762617	-23.47870304	-25.96576292	-28.28206881	-30.51662355	-32.71214758	-35.01200222	-37.49374228	-40.25221646	-17.73193903	-20.64420571	-23.25438692	-25.62241329	-27.88355955	-30.05910853	-32.23263764	-34.46643859	-36.81053035	-39.4565577	-42.52043582	-19.81113617	-21.83425386	-23.95331368	-26.04566637	-28.1054605	-30.14975861	-32.2031567	-34.34936902	-36.64545499	-39.16754723	-42.09039917	-22.64960321	-23.79986346	-25.34115993	-27.05039605	-28.84872141	-30.71513932	-32.64727489	-34.6886917	-36.89348362	-39.32685511	-42.19626735	-25.78506318	-26.21662502	-27.22168011	-28.51107914	-30.03880149	-31.69889571	-33.48552262	-35.40697564	-37.53202789	-39.92442484	-42.76463255	-29.07041135	-28.93573783	-29.45619877	-30.40336705	-31.63672404	-33.07041081	-34.69299017	-36.51471099	-38.56731643	-40.92666855	-43.78432852	-31.88720707	-31.99925178	-32.60314066	-33.56004814	-34.77713947	-36.27183868	-37.98936484	-40.01006181	-42.39069884	-34.92545869	-35.18622405	-35.86439618	-36.9211352	-38.25404539	-39.9104158	-41.93785389	-38.29447993	-38.71859739	-39.56836374	-40.81585178	-42.44465168
