BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2016/10/1418:06																																																																																																	
Meas. Finish Time	2016/10/1418:53																																																																																																	
Linear Scale Origin X(mm)	-102.6																																																																																																	
Linear Scale Origin Y(mm)	110.258																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-122.601	-112.603	-102.602	-92.601	-82.601	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.599	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.602	-72.601	-62.6	-52.598	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.601	-62.6	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-122.601	-112.603	-102.602	-92.601	-82.601
Linear Scale Y (mm)		60.259	60.259	60.259	60.259	60.259	70.256	70.256	70.256	70.256	70.256	70.256	70.256	80.255	80.255	80.255	80.255	80.255	80.255	80.255	80.255	80.255	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	140.254	140.255	140.255	140.255	140.255	140.255	140.255	140.255	140.255	150.254	150.254	150.255	150.255	150.255	150.255	150.255	160.254	160.255	160.255	160.255	160.255
R(beam)[mm]		20.001	10.003	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40.001	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.998	-29.999	-40	-50.002	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-29.999	-40	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	20.001	10.003	0.002	-9.999	-19.999
Y(beam)[mm]		-49.999	-49.999	-49.999	-49.999	-49.999	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	29.996	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	39.996	39.996	39.997	39.997	39.997	39.997	39.997	49.996	49.997	49.997	49.997	49.997
Net Ana Temperature[℃]		23.28217086	23.30835108	23.31725526	23.34720073	23.34869644	23.40622695	23.45069592	23.49094002	23.50307972	23.52619579	23.56463516	23.5707167	23.70334459	23.69493119	23.72931446	23.75199688	23.7830979	23.81830434	23.83915606	23.86829135	23.89096339	23.97618541	23.9448429	23.93537263	23.90615165	23.85570241	23.82569982	23.78520384	23.76367697	23.70808881	23.67913269	23.63959751	23.52062581	23.47663204	23.4444482	23.42237081	23.35957933	23.39343287	23.3034952	23.28144378	23.2587328	23.25472864	23.2284134	23.22641392	23.2435679	23.23313944	23.22439366	23.24442223	23.25811218	23.27951441	23.29474942	23.31985458	23.33369774	23.36508439	23.44019216	23.46421449	23.47104908	23.48718255	23.50991431	23.54346923	23.59209556	23.64609192	23.65648403	23.68353674	23.73919501	23.91898208	23.90596209	23.8961932	23.92410283	23.95384056	23.96080758	23.96387172	23.95383796	23.93205142	23.88511036	23.87259413	23.74276292	23.69162296	23.6664321	23.62437029	23.58762659	23.56049857	23.51589717	23.49862114	23.46471566	23.37483511	23.33669437	23.29659829	23.2720644	23.24353934	23.22186185	23.17118411	23.20830693	23.21138406	23.22512334	23.23270579	23.23367437
BPM Temperature[℃]		21.20820566	21.28821085	21.27424046	21.30347962	21.32877175	21.35019475	21.356349	21.36665801	21.38688652	21.39275513	21.40181771	21.42295508	21.47138406	21.5069852	21.52178655	21.53726305	21.5663464	21.58917164	21.61877434	21.63570501	21.65624513	21.63341989	21.6028564	21.55907556	21.5353155	21.46974812	21.42884965	21.38018696	21.33882109	21.29672812	21.26115295	21.22858998	21.13830174	21.11152947	21.06733316	21.02529213	20.99893534	20.97969359	20.97912231	20.9575435	20.92752532	20.90794599	20.92633082	20.92482472	20.93609452	20.95816671	20.98101792	21.01924176	21.03567904	21.06273695	21.10381719	21.12529213	21.16188003	21.17899247	21.26255518	21.28647105	21.30916645	21.33243313	21.35824461	21.38878213	21.41599585	21.44700078	21.47579849	21.50628408	21.54240457	21.62194235	21.64463776	21.66915087	21.67800571	21.68000519	21.65907556	21.62487666	21.57408465	21.52350039	21.46522981	21.41399636	21.26535965	21.20750454	21.16850169	21.13835367	21.08948325	21.04731239	20.98486108	20.93697741	20.90101272	20.84297585	20.81116593	20.79093742	20.76076344	20.75790704	20.75603739	20.7576214	20.83206959	20.86548948	20.90202545	20.93134251	20.97195534
Frequency (Hz) / Data (dB)	850000	-40.49700404	-37.23382693	-34.13095135	-31.31468942	-29.24159507	-43.35045731	-40.38002599	-37.66784634	-35.28660751	-33.31991388	-32.13429136	-32.13432687	-46.41358716	-43.47179425	-40.91801215	-38.69904627	-36.821306	-35.36737461	-34.65168399	-34.91874984	-36.28474305	-49.79932268	-46.68125563	-44.09906024	-41.84067498	-40.02686521	-38.53120765	-37.51395768	-37.09484936	-37.35871273	-38.61885017	-40.83744799	-50.25337591	-47.38235114	-45.04721453	-43.10867761	-41.53422302	-40.32850915	-39.5332665	-39.32016262	-39.72830496	-40.83028792	-42.80049749	-51.11344477	-48.44064036	-46.28093738	-44.54145087	-43.16826668	-42.19737684	-41.61357202	-41.50442643	-41.96232126	-43.03026305	-44.88016766	-52.36335614	-49.77730864	-47.79140961	-46.12340863	-44.96036104	-44.12394956	-43.68924982	-43.68321868	-44.19342387	-45.2881882	-47.10827543	-53.98129406	-51.44834477	-49.51031502	-48.01006897	-46.9269925	-46.19050465	-45.84050363	-45.96113095	-46.51490143	-47.63520276	-49.49943118	-53.45989569	-51.53611196	-50.10083893	-49.04864434	-48.33977242	-48.1407051	-48.31706744	-48.98231087	-50.21249157	-53.97028472	-52.4611292	-51.42026775	-50.85709952	-50.65420923	-50.94020872	-51.74359876	-55.42559387	-54.33971101	-53.77589616	-53.65180175	-54.03327913
	1700000	-34.70350498	-31.42582663	-28.31555574	-25.49458274	-23.42064722	-37.54570016	-34.56398889	-31.8609728	-29.47075683	-27.50700875	-26.3153014	-26.32315872	-40.57561202	-37.65485147	-35.10263722	-32.88039275	-31.01198366	-29.57404661	-28.86087283	-29.10846497	-30.47941994	-43.95256556	-40.83882265	-38.26400733	-36.03631348	-34.20397026	-32.71889806	-31.70183836	-31.27897447	-31.56697549	-32.80392077	-35.03248886	-44.38322375	-41.53944013	-39.2187708	-37.28252522	-35.71309809	-34.51099235	-33.72852704	-33.50718476	-33.90447582	-35.01754963	-36.99222714	-45.24051284	-42.58528021	-40.44636733	-38.7150833	-37.35083193	-36.37410685	-35.78988409	-35.68568799	-36.14092192	-37.21030314	-39.0626997	-46.48551638	-43.93161214	-41.93409786	-40.30893771	-39.11708958	-38.30088928	-37.86646326	-37.85890601	-38.36254904	-39.45653012	-41.27023829	-48.11169733	-45.59493396	-43.65724958	-42.17208501	-41.07572536	-40.34540511	-40.00976421	-40.11035015	-40.67335117	-41.7953538	-43.66339897	-47.58020536	-45.66836062	-44.21718741	-43.1836797	-42.51074456	-42.29658998	-42.46943687	-43.12887632	-44.3631207	-48.07210085	-46.58872526	-45.56071541	-44.99918723	-44.79084167	-45.08615858	-45.87451578	-49.46956865	-48.42315468	-47.86640494	-47.75237928	-48.14100842
	2550000	-31.34765031	-28.06465058	-24.94913939	-22.1234974	-20.04793384	-34.18788209	-31.20278966	-28.49630179	-26.10082334	-24.13655125	-22.94389031	-22.95567964	-37.21726034	-34.2902396	-31.73665869	-29.51543473	-27.64345166	-26.21150517	-25.49830799	-25.74222499	-27.11240911	-40.58741485	-37.47718783	-34.89542843	-32.67359001	-30.83484704	-29.35054856	-28.33395124	-27.91084522	-28.20513364	-29.43708709	-31.67366101	-41.01895086	-38.17628637	-35.85205396	-33.91359775	-32.3420145	-31.14214353	-30.36591273	-30.13830488	-30.53730715	-31.65385091	-33.63252718	-41.87342449	-39.22115478	-37.08311517	-35.34757859	-33.98111943	-33.00223431	-32.42416403	-32.32061721	-32.77405709	-33.85184538	-35.70443299	-43.12329771	-40.56568846	-38.56726225	-36.94719749	-35.75700983	-34.93026143	-34.49804494	-34.49058714	-34.99791274	-36.09257745	-37.91354955	-44.74277509	-42.2329065	-40.28810083	-38.80224559	-37.70970434	-36.98181539	-36.64508408	-36.73840271	-37.30527131	-38.44025106	-40.30805486	-44.2207428	-42.29449808	-40.85119161	-39.81746683	-39.15557543	-38.92955882	-39.09987574	-39.76703037	-41.00181528	-44.70450257	-43.22088439	-42.19084285	-41.62764459	-41.43421467	-41.72254438	-42.51323585	-46.09332602	-45.05107521	-44.49953554	-44.38362987	-44.77326033
	3400000	-28.96492425	-25.6778385	-22.56252953	-19.73344752	-17.65783991	-31.80670424	-28.81834322	-26.10888426	-23.70973802	-21.74619845	-20.55276845	-20.56775319	-34.83200227	-31.90327183	-29.35055853	-27.1246055	-25.25304742	-23.82555227	-23.11497827	-23.35489445	-24.72685232	-38.20836304	-35.09478779	-32.50935293	-30.28608671	-28.44305741	-26.9608652	-25.94433744	-25.52080426	-25.82069639	-27.05115247	-29.28848999	-38.63258411	-35.78938518	-33.46121273	-31.52281549	-29.95125412	-28.75156051	-27.97707287	-27.7510123	-28.1488011	-29.26871594	-31.252194	-39.48944111	-36.83353973	-34.69293795	-32.95615223	-31.59315282	-30.60969212	-30.0308929	-29.93037703	-30.38306281	-31.46322749	-33.32134983	-40.73824375	-38.18085555	-36.17627558	-34.5643061	-33.36636488	-32.54072049	-32.10821538	-32.10041769	-32.61019915	-33.70418755	-35.52649061	-42.36315408	-39.84209266	-37.90052064	-36.41166497	-35.31767381	-34.59191833	-34.2535725	-34.34968621	-34.91517451	-36.05383423	-37.92052002	-41.83803848	-39.90747889	-38.46411103	-37.42912614	-36.76664282	-36.54379606	-36.71234295	-37.37113024	-38.61105123	-42.31651378	-40.83870644	-39.81316955	-39.23831524	-39.04685861	-39.32774633	-40.11886545	-43.71204764	-42.67258597	-42.10504561	-42.00040291	-42.39203939
