BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2016/10/1418:06																																																																																																	
Meas. Finish Time	2016/10/1418:53																																																																																																	
Linear Scale Origin X(mm)	-102.6																																																																																																	
Linear Scale Origin Y(mm)	110.258																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-122.601	-112.603	-102.602	-92.601	-82.601	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.599	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.602	-72.601	-62.6	-52.598	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.601	-62.6	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-122.601	-112.603	-102.602	-92.601	-82.601
Linear Scale Y (mm)		60.259	60.259	60.259	60.259	60.259	70.256	70.256	70.256	70.256	70.256	70.256	70.256	80.255	80.255	80.255	80.255	80.255	80.255	80.255	80.255	80.255	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	90.254	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	140.254	140.255	140.255	140.255	140.255	140.255	140.255	140.255	140.255	150.254	150.254	150.255	150.255	150.255	150.255	150.255	160.254	160.255	160.255	160.255	160.255
R(beam)[mm]		20.001	10.003	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40.001	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.998	-29.999	-40	-50.002	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-29.999	-40	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	20.001	10.003	0.002	-9.999	-19.999
Y(beam)[mm]		-49.999	-49.999	-49.999	-49.999	-49.999	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-20.004	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	29.996	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	39.996	39.996	39.997	39.997	39.997	39.997	39.997	49.996	49.997	49.997	49.997	49.997
Net Ana Temperature[℃]		23.28217086	23.30835108	23.31725526	23.34720073	23.34869644	23.40622695	23.45069592	23.49094002	23.50307972	23.52619579	23.56463516	23.5707167	23.70334459	23.69493119	23.72931446	23.75199688	23.7830979	23.81830434	23.83915606	23.86829135	23.89096339	23.97618541	23.9448429	23.93537263	23.90615165	23.85570241	23.82569982	23.78520384	23.76367697	23.70808881	23.67913269	23.63959751	23.52062581	23.47663204	23.4444482	23.42237081	23.35957933	23.39343287	23.3034952	23.28144378	23.2587328	23.25472864	23.2284134	23.22641392	23.2435679	23.23313944	23.22439366	23.24442223	23.25811218	23.27951441	23.29474942	23.31985458	23.33369774	23.36508439	23.44019216	23.46421449	23.47104908	23.48718255	23.50991431	23.54346923	23.59209556	23.64609192	23.65648403	23.68353674	23.73919501	23.91898208	23.90596209	23.8961932	23.92410283	23.95384056	23.96080758	23.96387172	23.95383796	23.93205142	23.88511036	23.87259413	23.74276292	23.69162296	23.6664321	23.62437029	23.58762659	23.56049857	23.51589717	23.49862114	23.46471566	23.37483511	23.33669437	23.29659829	23.2720644	23.24353934	23.22186185	23.17118411	23.20830693	23.21138406	23.22512334	23.23270579	23.23367437
BPM Temperature[℃]		21.20820566	21.28821085	21.27424046	21.30347962	21.32877175	21.35019475	21.356349	21.36665801	21.38688652	21.39275513	21.40181771	21.42295508	21.47138406	21.5069852	21.52178655	21.53726305	21.5663464	21.58917164	21.61877434	21.63570501	21.65624513	21.63341989	21.6028564	21.55907556	21.5353155	21.46974812	21.42884965	21.38018696	21.33882109	21.29672812	21.26115295	21.22858998	21.13830174	21.11152947	21.06733316	21.02529213	20.99893534	20.97969359	20.97912231	20.9575435	20.92752532	20.90794599	20.92633082	20.92482472	20.93609452	20.95816671	20.98101792	21.01924176	21.03567904	21.06273695	21.10381719	21.12529213	21.16188003	21.17899247	21.26255518	21.28647105	21.30916645	21.33243313	21.35824461	21.38878213	21.41599585	21.44700078	21.47579849	21.50628408	21.54240457	21.62194235	21.64463776	21.66915087	21.67800571	21.68000519	21.65907556	21.62487666	21.57408465	21.52350039	21.46522981	21.41399636	21.26535965	21.20750454	21.16850169	21.13835367	21.08948325	21.04731239	20.98486108	20.93697741	20.90101272	20.84297585	20.81116593	20.79093742	20.76076344	20.75790704	20.75603739	20.7576214	20.83206959	20.86548948	20.90202545	20.93134251	20.97195534
Frequency (Hz) / Data (dB)	850000	-54.60763418	-54.17727162	-54.23469733	-54.81661143	-55.79381482	-52.26160656	-51.41776224	-51.11159597	-51.32397404	-51.8777001	-52.91794893	-54.39714265	-50.7147141	-49.43486622	-48.78553562	-48.5903435	-48.80967917	-49.36928803	-50.40937584	-51.92637929	-53.97616772	-50.03475555	-48.12179692	-46.96069082	-46.32137608	-46.26674545	-46.56657256	-47.29060196	-48.38234062	-49.79306676	-51.8714452	-54.39887153	-47.58361192	-45.7284669	-44.62390183	-44.09292856	-44.08482672	-44.51400127	-45.3033935	-46.51902722	-48.12474186	-50.14797219	-52.70409334	-45.37290636	-43.49563622	-42.36778255	-41.8883021	-41.97439928	-42.5644129	-43.52779246	-44.87790237	-46.63009419	-48.74463932	-51.42524698	-43.28506508	-41.26602569	-40.14867442	-39.65798042	-39.91466805	-40.66200418	-41.86115644	-43.4145159	-45.35866447	-47.69094924	-50.55784361	-41.24659239	-39.04063046	-37.81287301	-37.45935734	-37.87874271	-38.86268973	-40.33182302	-42.20120649	-44.39494638	-46.98178325	-50.1225743	-36.63806104	-35.3095814	-35.07607607	-35.75997987	-37.08242711	-39.00468805	-41.20338815	-43.75519349	-46.69149328	-32.52075328	-32.45942329	-33.58563421	-35.57058739	-37.91366649	-40.64130441	-43.6421021	-29.54762417	-31.58558104	-34.39251178	-37.48189525	-40.73739217
	1700000	-48.58299959	-48.17607021	-48.26779091	-48.80466161	-49.80924583	-46.32052071	-45.52247219	-45.22405854	-45.37995048	-45.96324599	-46.95742904	-48.39742627	-44.82600014	-43.55317583	-42.88768533	-42.69895168	-42.92661036	-43.50903576	-44.5298843	-45.99851868	-47.96196404	-44.15825178	-42.25901474	-41.09923377	-40.48115369	-40.40079997	-40.71463462	-41.42345024	-42.50905041	-43.96496483	-45.91522885	-48.44228153	-41.74964776	-39.90269532	-38.79339651	-38.26713367	-38.24825681	-38.66351775	-39.46467731	-40.66553723	-42.2577005	-44.23692082	-46.7597233	-39.53834276	-37.65992877	-36.5463386	-36.07460982	-36.15747862	-36.72696095	-37.69275975	-39.03838556	-40.75978473	-42.87522512	-45.50983184	-37.46927742	-35.45285108	-34.31928063	-33.86310568	-34.10192152	-34.84863653	-36.03932193	-37.58841096	-39.52340803	-41.83513278	-44.64910766	-35.46747075	-33.23897036	-32.0037127	-31.65717994	-32.06551726	-33.05620436	-34.51481945	-36.36204435	-38.56021038	-41.11507972	-44.20564173	-30.86995362	-29.51088208	-29.27129582	-29.95337814	-31.29654155	-33.19139666	-35.39829216	-37.92905065	-40.83192232	-26.7203408	-26.66002105	-27.79964036	-29.76855111	-32.1355702	-34.84261582	-37.81084122	-23.74449819	-25.78094317	-28.59221315	-31.69209003	-34.95161328
	2550000	-45.20863532	-44.79476786	-44.87597437	-45.43666675	-46.45296459	-42.94775827	-42.13926508	-41.84147855	-42.01200069	-42.58368043	-43.57880202	-45.03480755	-41.46506651	-40.19219062	-39.51172319	-39.32708549	-39.55848504	-40.14601029	-41.16359032	-42.62763068	-44.55950263	-40.79091754	-38.89237375	-37.72625677	-37.11714346	-37.03165231	-37.34556702	-38.05026903	-39.13381248	-40.58552188	-42.54082599	-45.04766385	-38.37573849	-36.52674337	-35.41556064	-34.89547095	-34.87367718	-35.29481981	-36.10073106	-37.29994497	-38.87085654	-40.86378971	-43.3926457	-36.18055762	-34.29210249	-33.18040194	-32.70500322	-32.78776066	-33.35658195	-34.32435735	-35.67256405	-37.39688823	-39.50430895	-42.14361462	-34.1092431	-32.09103594	-30.94991483	-30.50463266	-30.7332883	-31.48463779	-32.66873441	-34.21908241	-36.14639457	-38.46316535	-41.27641621	-32.11754821	-29.87748537	-28.6378309	-28.29060393	-28.69487253	-29.68791689	-31.15102273	-32.99797318	-35.18887067	-37.75233344	-40.83528495	-27.51754722	-26.14559843	-25.90398031	-26.5850107	-27.93476908	-29.82032015	-32.02970281	-34.56568364	-37.47647078	-23.35354351	-23.29119399	-24.43609743	-26.39919382	-28.77349512	-31.47498578	-34.45103007	-20.37468583	-22.41257595	-25.22741521	-28.33263345	-31.59835608
	3400000	-42.82176832	-42.40674379	-42.49653286	-43.03659497	-44.0696323	-40.56769316	-39.75123693	-39.46424572	-39.62163872	-40.19698484	-41.19140409	-42.64372778	-39.07683751	-37.80807465	-37.12801362	-36.93600531	-37.16875651	-37.76470547	-38.78261627	-40.23410701	-42.17880123	-38.41430802	-36.50566693	-35.34412584	-34.73826487	-34.64826934	-34.96074256	-35.66999042	-36.75023705	-38.20161078	-40.14823368	-42.6636095	-36.00489078	-34.14760026	-33.03420571	-32.50882639	-32.48909759	-32.91280468	-33.71569428	-34.91232958	-36.48843282	-38.475005	-41.00680674	-33.7989921	-31.90478848	-30.79255221	-30.32233777	-30.40341598	-30.967448	-31.93741756	-33.28600535	-35.00964449	-37.12086619	-39.75741099	-31.73492726	-29.71246104	-28.56668731	-28.12084513	-28.34747322	-29.09581272	-30.28383161	-31.83736488	-33.76227321	-36.07850255	-38.8973201	-29.74781407	-27.49752651	-26.25438933	-25.90660141	-26.30888644	-27.30291526	-28.76852748	-30.61417891	-32.80528992	-35.37028804	-38.45690477	-25.1426298	-23.76340767	-23.5168028	-24.20128268	-25.55628895	-27.4353944	-29.64672198	-32.18776404	-35.09469209	-20.97019947	-20.9052927	-22.05439638	-24.01558463	-26.39406112	-29.09570853	-32.07250007	-17.98821841	-20.02810357	-22.84407321	-25.95307476	-29.22391509
