BPM Serial No.	16elec																																																																																																
BPM Size	110																																																																																																
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																
Meas. Start Time	2016/10/1419:14																																																																																																
Meas. Finish Time	2016/10/1420:01																																																																																																
Linear Scale Origin X(mm)	-102.6																																																																																																
Linear Scale Origin Y(mm)	110.258																																																																																																
note																																																																																																	
																																																																																																	
																																																																																																	
Data Point Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
R(beam)[mm]	20.001	10.004	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	20.001	10.004	0.002	-9.999	-19.999
Y(beam)[mm]	-49.999	-49.999	-49.999	-49.999	-49.999	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	29.996	29.996	29.997	29.996	29.997	29.997	29.997	29.997	29.997	39.996	39.996	39.996	39.996	39.996	39.996	39.996	49.997	49.997	49.997	49.997	49.997
S32-5.1MHz(dB)	-19.30132933	-22.41102259	-25.30024111	-28.1117115	-30.98738629	-16.20167953	-19.06352742	-21.80737888	-24.44566983	-27.04565302	-29.71692378	-32.54366582	-16.18279488	-17.8268829	-19.90590662	-22.15107584	-24.44833636	-26.79902063	-29.23746509	-31.83427819	-34.71921087	-19.29541137	-19.06698098	-19.91168575	-21.34968938	-23.10453505	-25.045437	-27.11262942	-29.3224584	-31.71350307	-34.37906912	-37.49360856	-22.41536844	-21.80979936	-22.15001114	-23.10160672	-24.42452791	-26.04456277	-27.85180444	-29.84186898	-32.04723759	-34.53373374	-37.44971223	-25.30520057	-24.45026967	-24.44701718	-25.03722239	-26.04292868	-27.36579003	-28.93655134	-30.73081558	-32.76405395	-35.10826862	-37.88895834	-28.12876194	-27.0681632	-26.80047917	-27.1121832	-27.85849469	-28.94285582	-30.30451559	-31.92760702	-33.82462471	-36.06400775	-38.7838348	-31.02716991	-29.74526489	-29.25448096	-29.3306933	-29.85534288	-30.73860015	-31.92325978	-33.42184629	-35.22355304	-37.41028076	-40.12367118	-32.59603393	-31.86198467	-31.73616965	-32.07285226	-32.78578698	-33.84167246	-35.22942545	-36.96628598	-39.14971354	-34.75540454	-34.40313874	-34.54954271	-35.13366175	-36.07690373	-37.41081198	-39.15253751	-37.5306601	-37.48901947	-37.93095541	-38.80884438	-40.13245831
S42-5.1MHz(dB)	-40.14890178	-38.8004532	-37.90867718	-37.45286165	-37.47355024	-39.17466886	-37.41251776	-36.07600183	-35.10675328	-34.51419525	-34.35544485	-34.68389071	-39.16755009	-36.9866853	-35.22562319	-33.83667013	-32.76669617	-32.03903785	-31.69500035	-31.80413088	-32.50813511	-40.18648291	-37.4417094	-35.24420999	-33.43205623	-31.93583046	-30.7359705	-29.83869519	-29.30461325	-29.2077645	-29.68176727	-30.93194893	-38.84188885	-36.10114409	-33.84607129	-31.93958042	-30.28502752	-28.92883281	-27.84213299	-27.08686358	-26.76439192	-27.01034572	-28.04267867	-37.946875	-35.13846671	-32.78126377	-30.73651831	-28.93080157	-27.36037336	-26.03909245	-25.02133049	-24.41808718	-24.40166786	-25.22635346	-37.49854016	-34.56070637	-32.06138905	-29.85334852	-27.85813965	-26.05149687	-24.44123255	-23.09250541	-22.13293919	-21.77532199	-22.34925761	-37.54160668	-34.41030594	-31.73352645	-29.33011109	-27.11775641	-25.04419676	-23.09585801	-21.35370378	-19.91812257	-19.06500968	-19.25821398	-34.76321911	-31.85711085	-29.25328356	-26.81324106	-24.46133901	-22.16418789	-19.93091251	-17.85355608	-16.23135239	-32.57137407	-29.73073825	-27.05307228	-24.45604874	-21.81318447	-19.08628374	-16.24862517	-30.99946188	-28.11519737	-25.29438283	-22.40959556	-19.3048275
S12-5.1MHz(dB)	-37.57539345	-37.52484988	-37.96190753	-38.83749042	-40.15799786	-34.78743832	-34.4375873	-34.589957	-35.15562597	-36.09563551	-37.42876755	-39.16955036	-32.61156128	-31.90004474	-31.76299283	-32.09776138	-32.81002939	-33.86360066	-35.24952992	-36.9857308	-39.16792714	-31.09087884	-29.79891012	-29.29667228	-29.37156292	-29.89002077	-30.77064825	-31.95353551	-33.43864134	-35.23989812	-37.42046509	-40.13014609	-28.19976496	-27.12554962	-26.84945031	-27.15147625	-27.86639295	-28.95908782	-30.31977567	-31.93816914	-33.83740297	-36.07500321	-38.78834665	-25.36835644	-24.50281725	-24.48901439	-25.06896244	-26.06668644	-27.38299075	-28.94916587	-30.73964177	-32.77095673	-35.11222017	-37.89744628	-22.47592037	-21.85606357	-22.18183149	-23.12265663	-24.45884935	-26.06194059	-27.86152708	-29.84860085	-32.04601009	-34.53300995	-37.45270298	-19.3682562	-19.11766656	-19.94512598	-21.36563921	-23.1107818	-25.04066905	-27.10013482	-29.31879368	-31.71252621	-34.37825853	-37.49297939	-16.26296092	-17.85400933	-19.92297033	-22.15502838	-24.44870584	-26.79176143	-29.22846699	-31.82539579	-34.71214996	-16.2157045	-19.05700483	-21.78227455	-24.43451081	-27.03893037	-29.70279895	-32.5320276	-19.2654986	-22.38147209	-25.26833443	-28.08496495	-30.96495032
S52-5.1MHz(dB)	-31.10625545	-28.21712689	-25.39596425	-22.50452816	-19.39356126	-32.66783834	-29.83134866	-27.16528318	-24.55110551	-21.90065511	-19.1778714	-16.34236029	-34.83930313	-31.95559277	-29.34501702	-26.90811373	-24.55576854	-22.26127324	-20.02885711	-17.95547867	-16.34103486	-37.65842987	-34.51712479	-31.83455072	-29.43623963	-27.22169287	-25.15196285	-23.20882978	-21.45681223	-20.0209383	-19.17408749	-19.38167185	-37.6147032	-34.6711287	-32.17157975	-29.96011533	-27.94403554	-26.14931469	-24.54389058	-23.19703589	-22.24364289	-21.89203831	-22.47439527	-38.05383133	-35.24389605	-32.88755678	-30.84163799	-29.03781328	-27.46751328	-26.14764643	-25.13226739	-24.53421637	-24.52345629	-25.35528985	-38.93972594	-36.20082725	-33.94850457	-32.03562312	-30.40522409	-29.03855449	-27.95137079	-27.1987839	-26.87922773	-27.12926142	-28.1664967	-40.28447534	-37.53939598	-35.34534325	-33.52893781	-32.0344416	-30.82975438	-29.92888598	-29.40753809	-29.3192182	-29.79799205	-31.05059069	-39.29796873	-37.08899221	-35.33839836	-33.94360116	-32.87507876	-32.14653023	-31.80240946	-31.91224491	-32.62107468	-39.28405597	-37.5197336	-36.16889117	-35.21639659	-34.62868823	-34.46253283	-34.79675196	-40.24952438	-38.91215194	-38.01045011	-37.55707043	-37.58158662
S22-5.1MHz(dB)	-22.59489689	-22.5974483	-22.59980127	-22.59846752	-22.59358083	-22.59587205	-22.60211559	-22.60486062	-22.60450919	-22.60077959	-22.60125308	-22.59769771	-22.58716515	-22.59815277	-22.60340535	-22.60644193	-22.60504845	-22.60371717	-22.60220955	-22.59704988	-22.59030137	-22.58362961	-22.59161534	-22.59595514	-22.5997468	-22.5992928	-22.60254077	-22.59896851	-22.59737723	-22.59620348	-22.59224807	-22.5846162	-22.58758554	-22.5948999	-22.60087171	-22.60239948	-22.59790356	-22.60543923	-22.60608874	-22.60467214	-22.60268145	-22.60005543	-22.59388436	-22.59662796	-22.60456208	-22.60997031	-22.6131878	-22.61437119	-22.6149336	-22.61491935	-22.61475147	-22.61236026	-22.60715122	-22.60159271	-22.59843528	-22.60467328	-22.60779135	-22.61181284	-22.61272097	-22.61330052	-22.61110713	-22.60827762	-22.60852477	-22.60056918	-22.59288252	-22.58809145	-22.59572815	-22.60052125	-22.6022937	-22.60267363	-22.60180808	-22.59868939	-22.59789129	-22.59757555	-22.59161995	-22.58433711	-22.58519051	-22.58974258	-22.59559534	-22.59707344	-22.59900477	-22.59803344	-22.59658742	-22.59399271	-22.58899537	-22.58886158	-22.59250212	-22.59327616	-22.59834807	-22.59726024	-22.59703336	-22.59317885	-22.59017298	-22.59574187	-22.59456842	-22.59607231	-22.59390192
S12-S52	-0.014621188	-0.02553076	-0.041083551	-0.063518251	-0.097411648	-0.005036568	-0.013270458	-0.02518399	-0.041749756	-0.064671167	-0.096482495	-0.141360579	0.005296252	0.000161981	-0.008285883	-0.020305673	-0.03630275	-0.056810624	-0.082389127	-0.112390886	-0.141381774	0.014796298	0.013564036	0.008687997	0.000252197	-0.011516976	-0.026320914	-0.043859208	-0.063274193	-0.082460863	-0.096517536	-0.09752699	0.025745296	0.025558339	0.020821791	0.012127806	0.000359771	-0.013615664	-0.028786243	-0.043908398	-0.056906011	-0.064713634	-0.063713854	0.04138771	0.042256491	0.03696269	0.027087031	0.014408198	0.000413902	-0.013584382	-0.026342871	-0.036346621	-0.041851051	-0.041241551	0.063899285	0.065273404	0.057715985	0.044785832	0.029667728	0.014438394	0.000416249	-0.011478887	-0.020307626	-0.025243496	-0.025646841	0.097866458	0.097417244	0.083544123	0.06438658	0.044877923	0.02722976	0.012273615	0.000347672	-0.008236898	-0.013264485	-0.014674153	0.142921235	0.114045009	0.083787474	0.057945059	0.037207508	0.021053529	0.008863404	0.000254983	-0.00500349	0.143742697	0.098162932	0.06590536	0.04267179	0.025909132	0.013805604	0.005422644	0.099107285	0.064685503	0.041949327	0.026175306	0.015087245
S12+S52	0.041061119	0.052124995	0.066372724	0.086382423	0.117051133	0.041483257	0.051215115	0.062468818	0.076683787	0.096021937	0.123372545	0.163367155	0.04152596	0.050657211	0.059913295	0.069981137	0.082067229	0.097347471	0.116947516	0.140688086	0.163392463	0.04098467	0.051162816	0.059891829	0.067738869	0.075568424	0.08419679	0.094366399	0.105843632	0.117057596	0.123433302	0.117229552	0.052065838	0.062496355	0.070076869	0.075664444	0.080495874	0.084913378	0.089745717	0.094505022	0.097565306	0.096138964	0.086707756	0.066410655	0.076837304	0.082320508	0.084491817	0.085062617	0.085069237	0.084963586	0.084425719	0.082317432	0.076960094	0.066719102	0.086495916	0.096246786	0.097858518	0.094817944	0.090030447	0.085086785	0.080484705	0.075836504	0.070279944	0.062773577	0.052462893	0.11722204	0.123966979	0.117723397	0.10651577	0.094916841	0.084713137	0.076039104	0.068057716	0.060165147	0.051469209	0.041366148	0.164604843	0.142007791	0.117994088	0.09811026	0.082630534	0.07045086	0.060257061	0.051002845	0.041767468	0.165461066	0.124772837	0.096992834	0.077362259	0.063028073	0.051641442	0.041830273	0.118540908	0.087353983	0.067097561	0.052671072	0.041508331
(S12-S52)/(S12+S52)	-0.356083522	-0.489798804	-0.618982452	-0.735314536	-0.832214479	-0.121412076	-0.259112139	-0.403144975	-0.544440459	-0.673504082	-0.78204186	-0.865293754	0.127540747	0.003197591	-0.138297908	-0.290159239	-0.442353788	-0.58358603	-0.70449659	-0.798865702	-0.865289447	0.36102031	0.265115119	0.145061482	0.003723074	-0.152404603	-0.31261184	-0.464775684	-0.597808216	-0.70444692	-0.78194081	-0.831931786	0.494475779	0.408957281	0.297127875	0.160284088	0.004469437	-0.160347692	-0.32075339	-0.464614444	-0.583260723	-0.673125984	-0.734811481	0.623208876	0.549947605	0.449009498	0.320587632	0.169383427	0.00486547	-0.159884752	-0.312024237	-0.441542217	-0.543801977	-0.61813708	0.738754934	0.67818788	0.589790102	0.472334979	0.329529944	0.169690208	0.005171774	-0.151363609	-0.288953364	-0.402135701	-0.488856776	0.834881036	0.785832199	0.709664563	0.604479321	0.472813066	0.321434914	0.161411879	0.005108494	-0.136904802	-0.2577169	-0.354738213	0.868268709	0.8030898	0.710098921	0.59061162	0.450287642	0.298839913	0.147093195	0.004999396	-0.119793946	0.868740308	0.786733193	0.679486897	0.551584078	0.411072882	0.26733576	0.12963443	0.836059775	0.74049861	0.625198985	0.496957918	0.363475101
