BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2016/10/1419:14																																																																																																	
Meas. Finish Time	2016/10/1420:01																																																																																																	
Linear Scale Origin X(mm)	-102.6																																																																																																	
Linear Scale Origin Y(mm)	110.258																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-122.601	-112.604	-102.602	-92.601	-82.601	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.603	-92.601	-82.601	-72.6	-62.6	-52.598	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-122.601	-112.604	-102.602	-92.601	-82.601
Linear Scale Y (mm)		60.259	60.259	60.259	60.259	60.259	70.256	70.256	70.256	70.256	70.256	70.256	70.256	80.255	80.255	80.255	80.255	80.255	80.255	80.255	80.255	80.255	90.255	90.255	90.255	90.255	90.255	90.255	90.255	90.255	90.255	90.255	90.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	140.254	140.254	140.255	140.254	140.255	140.255	140.255	140.255	140.255	150.254	150.254	150.254	150.254	150.254	150.254	150.254	160.255	160.255	160.255	160.255	160.255
R(beam)[mm]		20.001	10.004	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	20.001	10.004	0.002	-9.999	-19.999
Y(beam)[mm]		-49.999	-49.999	-49.999	-49.999	-49.999	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	29.996	29.996	29.997	29.996	29.997	29.997	29.997	29.997	29.997	39.996	39.996	39.996	39.996	39.996	39.996	39.996	49.997	49.997	49.997	49.997	49.997
Net Ana Temperature[℃]		23.23866528	23.24434433	23.26352636	23.27544274	23.29734095	23.34341989	23.35051415	23.36101792	23.37872501	23.39090626	23.40579849	23.39138925	23.45567904	23.46565308	23.48692807	23.50609971	23.53654895	23.57313944	23.58465334	23.62185666	23.6548377	23.75855882	23.79900286	23.83605817	23.91877175	23.88924435	23.90838484	23.93216048	23.93163594	23.94904181	23.91179174	23.87887302	23.79209556	23.74693326	23.70997144	23.66869904	23.62406648	23.57965983	23.55527395	23.49979226	23.4732563	23.43355232	23.41108284	23.3307167	23.28447157	23.25381979	23.2478577	23.23241496	23.2166684	23.22721111	23.22051675	23.23685536	23.25299922	23.26487925	23.32758245	23.34845754	23.365235	23.3775409	23.4076993	23.41739548	23.44700857	23.4534926	23.47859517	23.51439366	23.52617762	23.63344845	23.65862633	23.69842379	23.71040249	23.74282524	23.77214749	23.8235731	23.84042846	23.86589457	23.90142041	23.93027525	24.01034277	24.00031161	23.98194495	23.94965464	23.91370293	23.86498572	23.81794079	23.77617242	23.75153207	23.72025708	23.61404311	23.57953778	23.55180732	23.52071929	23.47220462	23.42551545	23.35800052	23.31128019	23.28216567	23.26131394	23.24659569
BPM Temperature[℃]		21.07257855	21.07250065	21.08750974	21.08847053	21.10329784	21.15170086	21.17636977	21.20719294	21.21965723	21.23123864	21.24715658	21.26081537	21.30755648	21.32594131	21.33349779	21.35141522	21.37543495	21.39239159	21.41464555	21.44352116	21.46608673	21.55871202	21.59078162	21.61861854	21.63303038	21.65767333	21.65827058	21.62604518	21.59488445	21.55743963	21.52601922	21.46928071	21.31350299	21.28280966	21.23640613	21.20462218	21.16385354	21.12942093	21.11158141	21.08488704	21.06151649	21.04253441	21.02708387	20.91337315	20.90656972	20.89532589	20.89005453	20.88896391	20.90025967	20.91898208	20.96143859	20.97234485	21.00978967	21.03863931	21.13739288	21.16349	21.17231888	21.19353415	21.22287717	21.22773306	21.24897429	21.26652817	21.28828876	21.32072189	21.33318619	21.43645806	21.46660608	21.49197611	21.51913789	21.54552064	21.58919761	21.61646326	21.63357569	21.6719034	21.67107245	21.6914308	21.68818489	21.65401194	21.59787068	21.53910673	21.4646845	21.4155544	21.35772527	21.31015321	21.26304856	21.1576993	21.12796676	21.09392366	21.07400675	21.0380161	20.99220982	20.96320436	20.91158141	20.90345365	20.89093742	20.86613867	20.85175279
Frequency (Hz) / Data (dB)	850000	-52.612351	-52.5651143	-53.02499868	-53.92346255	-55.27144224	-49.73182886	-49.44509293	-49.59274283	-50.15990516	-51.11372283	-52.50991543	-54.26803082	-47.53164554	-46.88353504	-46.74069619	-47.08344686	-47.80235394	-48.86375296	-50.26846713	-52.04378423	-54.26141416	-46.03483526	-44.73610663	-44.25305805	-44.33020687	-44.8620163	-45.74640561	-46.93374976	-48.44571223	-50.27458435	-52.46483581	-55.27415703	-43.1165614	-42.0659172	-41.7977545	-42.09840429	-42.79608907	-43.92244687	-45.30066243	-46.93041018	-48.84391	-51.12464457	-53.89568302	-40.28306805	-39.43241518	-39.43473765	-40.02622505	-41.01528542	-42.34505069	-43.936202	-45.72804049	-47.78632485	-50.15260873	-52.9699147	-37.38144982	-36.78459313	-37.11820752	-38.06745557	-39.4195653	-41.0111563	-42.8378139	-44.81380583	-47.03078735	-49.53145444	-52.52649394	-34.26671918	-34.05150266	-34.89077785	-36.30526205	-38.0508959	-39.98348115	-42.0197998	-44.27617131	-46.70716094	-49.38182836	-52.53611641	-31.19239786	-32.79510251	-34.86762969	-37.09246697	-39.38472268	-41.74488759	-44.1753385	-46.8068267	-49.707677	-31.14732739	-33.98155648	-36.67398664	-39.37563294	-41.96842051	-44.63813247	-47.49106516	-34.16827954	-37.28479624	-40.16784947	-42.9993714	-45.89490297
	1700000	-46.6736875	-46.63257404	-47.08753491	-47.95963707	-49.29914222	-43.88708091	-43.55654026	-43.71426888	-44.28167796	-45.21288263	-46.54757276	-48.31859849	-41.69855056	-41.01701162	-40.8822451	-41.2313739	-41.94229747	-42.9876243	-44.37541025	-46.11660943	-48.30334046	-40.18126391	-38.90864457	-38.41271336	-38.49639351	-39.01659601	-39.90920205	-41.08472335	-42.57717421	-44.36853761	-46.53336061	-49.25876549	-37.30639493	-36.24263132	-35.97525671	-36.27715093	-36.98561732	-38.09400601	-39.457479	-41.06180153	-42.96484615	-45.2016354	-47.92464873	-34.47166393	-33.62498364	-33.62332535	-34.20684267	-35.19778799	-36.52224981	-38.08885908	-39.88055161	-41.91160357	-44.25182797	-47.04736269	-31.5825863	-30.98158901	-31.31314168	-32.25669451	-33.59327386	-35.20187263	-36.99779173	-38.98667808	-41.18387046	-43.65842028	-46.59015343	-28.47522519	-28.24317326	-29.08179783	-30.49970629	-32.24714645	-34.1694865	-36.21734814	-38.44303624	-40.83223834	-43.49046482	-46.6071574	-25.38997853	-26.986585	-29.05557915	-31.28212628	-33.57257323	-35.91782863	-38.34634025	-40.94334361	-43.83448996	-25.34127392	-28.18047079	-30.89043621	-33.55707178	-36.15246362	-38.80912412	-41.63887717	-28.37637098	-31.48804939	-34.37225166	-37.19056084	-40.06392863
	2550000	-43.313781	-43.26471783	-43.71364836	-44.5811203	-45.88701777	-40.51331389	-40.18678893	-40.33704183	-40.90999692	-41.83856505	-43.17440713	-44.91383648	-38.34714419	-37.64623732	-37.5131776	-37.85322489	-38.56687613	-39.61881427	-41.00390572	-42.74351236	-44.90884212	-36.81753054	-35.54346348	-35.0463898	-35.12858422	-35.64509261	-36.53306467	-37.71070134	-39.19459125	-40.98667477	-43.17083793	-45.87902778	-33.9364406	-32.87454529	-32.60637938	-32.91130385	-33.61951328	-34.71782313	-36.08254899	-37.69520852	-39.5925557	-41.82601419	-44.53830798	-31.11061651	-30.25379781	-30.25068478	-30.8339415	-31.8300497	-33.1464597	-34.71681888	-36.50240886	-38.53485732	-40.86443941	-43.64856356	-28.22109768	-27.61186474	-27.94276499	-28.88822003	-30.22379289	-31.82579412	-33.62518938	-35.60954577	-37.8045337	-40.28801737	-43.20329458	-25.11363266	-24.87438403	-25.70889548	-27.12900109	-28.87231733	-30.79911033	-32.85208571	-35.07389984	-37.46383015	-40.12096005	-43.23708038	-22.01871606	-23.61428628	-25.68398997	-27.91434186	-30.20560649	-32.54840735	-34.98035503	-37.57131222	-40.44955059	-21.97127265	-24.81068624	-27.52945085	-30.18915771	-32.78868828	-35.44672451	-38.27345986	-25.01013451	-28.12452723	-31.01072189	-33.82479224	-36.69965569
	3400000	-40.93173801	-40.88284842	-41.3218354	-42.19365663	-43.51622597	-38.14524841	-37.79942622	-37.95220567	-38.52196312	-39.4559953	-40.79090848	-42.53142227	-35.96721952	-35.26566318	-35.12990441	-35.46825218	-36.17991004	-37.23060087	-38.61408574	-40.34555501	-42.52867875	-34.44397736	-33.16311401	-32.66390709	-32.74155678	-33.26165617	-34.14478401	-35.32462973	-36.81273192	-38.60476629	-40.78589809	-43.48376092	-31.55728081	-30.49203694	-30.2198451	-30.52427912	-31.23911681	-32.33422085	-33.69524508	-35.30955629	-37.20698535	-39.44347862	-42.14824224	-28.72948316	-27.8725709	-27.86334554	-28.44763185	-29.44326733	-30.76078687	-32.32441667	-34.11312897	-36.14350995	-38.47636578	-41.2631032	-25.83974927	-25.22586269	-25.55588238	-26.4983839	-27.83590176	-29.43708854	-31.23788897	-33.21883184	-35.41926128	-37.89826427	-40.80826355	-22.73287792	-22.48860637	-23.3206483	-24.74013703	-26.48795912	-28.41525551	-30.46630939	-32.68670322	-35.07983411	-37.74022303	-40.84942073	-19.63302657	-21.22621097	-23.29679055	-25.52760624	-27.82042486	-30.16487428	-32.59469728	-35.18734853	-38.07585129	-19.58635673	-22.42750813	-25.14811587	-27.80414714	-30.40409919	-33.06896952	-35.89664089	-22.62912785	-25.74440815	-28.63016117	-31.44463753	-34.32168522
