BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2016/10/1420:20																																																																																																	
Meas. Finish Time	2016/10/1421:07																																																																																																	
Linear Scale Origin X(mm)	-102.6																																																																																																	
Linear Scale Origin Y(mm)	110.258																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-122.601	-112.604	-102.602	-92.601	-82.601	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.602	-72.6	-62.6	-152.604	-142.607	-132.605	-122.604	-112.604	-102.603	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.603	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.603	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.603	-92.601	-82.601	-72.6	-62.6	-52.598	-142.604	-132.605	-122.604	-112.604	-102.603	-92.601	-82.601	-72.6	-62.6	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-122.601	-112.603	-102.602	-92.601	-82.602
Linear Scale Y (mm)		60.26	60.26	60.26	60.26	60.26	70.257	70.257	70.257	70.257	70.257	70.257	70.257	80.256	80.256	80.256	80.256	80.256	80.256	80.256	80.256	80.256	90.256	90.256	90.256	90.256	90.256	90.256	90.256	90.256	90.256	90.256	90.256	100.256	100.256	100.256	100.256	100.256	100.256	100.256	100.256	100.256	100.256	100.256	110.256	110.256	110.256	110.256	110.256	110.256	110.256	110.256	110.256	110.256	110.256	120.255	120.255	120.255	120.255	120.255	120.255	120.255	120.255	120.255	120.255	120.255	130.255	130.255	130.256	130.256	130.255	130.255	130.255	130.255	130.256	130.256	130.256	140.256	140.256	140.256	140.256	140.256	140.256	140.256	140.256	140.256	150.255	150.256	150.256	150.255	150.255	150.255	150.255	160.255	160.256	160.256	160.256	160.256
R(beam)[mm]		20.001	10.004	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.998	-30	-40	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	40.004	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	20.001	10.003	0.002	-9.999	-19.998
Y(beam)[mm]		-49.998	-49.998	-49.998	-49.998	-49.998	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	19.997	19.997	19.998	19.998	19.997	19.997	19.997	19.997	19.998	19.998	19.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	39.997	39.998	39.998	39.997	39.997	39.997	39.997	49.997	49.998	49.998	49.998	49.998
Net Ana Temperature[℃]		23.55727863	23.52258115	23.47180992	23.43477279	23.41114256	23.33831992	23.30735393	23.29231109	23.25985458	23.23048299	23.20255778	23.1808699	23.18655414	23.2033342	23.21199429	23.22030122	23.24037133	23.27368476	23.26144118	23.27725266	23.29229551	23.34605557	23.36536744	23.38416775	23.40235004	23.43414957	23.46052973	23.477141	23.51024669	23.5127811	23.52366658	23.52906777	23.63965204	23.68885744	23.73204103	23.78685796	23.8390496	23.90266684	23.94068294	23.9868268	24.00722669	24.04029083	24.06871202	24.05868086	24.05270839	24.01656193	23.96572579	23.95014801	23.92648922	23.87733576	23.82567125	23.78826798	23.75413918	23.71227214	23.59846014	23.61753571	23.55178395	23.51347442	23.47499091	23.44871722	23.4317424	23.41883926	23.43695144	23.36971176	23.3565879	23.33210854	23.34211893	23.35640613	23.37139444	23.39277331	23.40152168	23.4280992	23.47170605	23.50334978	23.51316281	23.52997403	23.57815373	23.61149052	23.63872501	23.66575954	23.68955077	23.71753571	23.75564529	23.76193716	23.79188782	23.85298624	23.88826798	23.91168268	23.93883667	23.95973254	23.98245391	24.00708647	24.08414957	24.11279927	24.13272397	24.14108543	24.13655414
BPM Temperature[℃]		21.15120748	21.10259673	21.07346144	21.04996105	21.01880031	20.95427162	20.93092703	20.89703973	20.87533108	20.8607115	20.86141262	20.8902363	20.8973773	20.92970657	20.96110101	20.98078421	21.02443521	21.04292392	21.07712283	21.09028824	21.13313425	21.19532589	21.20379122	21.22557777	21.2365879	21.26138665	21.27694105	21.28512075	21.30321994	21.3210335	21.34269021	21.36172423	21.46016619	21.49641652	21.52786289	21.56665801	21.58361465	21.61332122	21.64196313	21.68005713	21.69228772	21.70457024	21.66767073	21.52843417	21.48312127	21.44819527	21.38896391	21.34697481	21.3128538	21.27605817	21.24404051	21.21215269	21.1832511	21.1576214	21.04622176	21.02324072	21.00033757	20.97974552	20.95125941	20.92835627	20.91508699	20.90919242	20.90054531	20.88636718	20.86951441	20.89613088	20.92679823	20.95780317	20.9942093	21.01578811	21.05081797	21.09057388	21.11345105	21.14811737	21.17629187	21.19896131	21.27372111	21.28992469	21.31376266	21.33401714	21.34097637	21.35689431	21.36772267	21.37377305	21.3942872	21.4308751	21.44990911	21.48117372	21.49535186	21.52116333	21.55447936	21.58135549	21.64133991	21.6537263	21.62755129	21.59330044	21.55235004
Frequency (Hz) / Data (dB)	850000	-49.73458564	-47.31331338	-45.09866459	-43.01823867	-41.01726676	-50.4435321	-47.83447319	-45.4638767	-43.21867807	-41.00610965	-38.77493278	-36.43166634	-51.94872307	-49.16066951	-46.66554178	-44.3492078	-42.11171126	-39.86754677	-37.55278233	-35.08125105	-32.26297725	-54.27755532	-51.16401367	-48.48457757	-46.10741942	-43.80044365	-41.65386384	-39.49175942	-37.24195303	-34.84280118	-32.26335345	-29.36769818	-53.91299723	-50.88085108	-48.3259019	-45.99584488	-43.84717745	-41.78385732	-39.72712156	-37.64629496	-35.55330024	-33.44187911	-31.42292307	-53.94385155	-51.05517904	-48.51960439	-46.34424753	-44.27941868	-42.33379866	-40.47136098	-38.66489573	-36.93745302	-35.36506683	-34.16243397	-54.56325695	-51.66520902	-49.20146372	-47.05061921	-45.11040998	-43.25942711	-41.63040148	-40.12240392	-38.7732017	-37.70012748	-37.27664588	-55.6475057	-52.67503835	-50.23430841	-48.14555548	-46.30215243	-44.65704233	-43.2275871	-41.92664841	-40.93932542	-40.42365636	-40.54210636	-54.16298859	-51.71031449	-49.63259119	-47.92072684	-46.35054215	-45.07515963	-44.14518968	-43.53382452	-43.41193393	-53.6654876	-51.6248511	-49.91949933	-48.56632726	-47.49127881	-46.75318353	-46.4814111	-54.19458574	-52.51511426	-51.22088538	-50.32856146	-49.85948604
	1700000	-43.87710968	-41.47513847	-39.26880181	-37.19929694	-35.21274884	-44.56304932	-41.97333259	-39.62377171	-37.39176768	-35.19415117	-32.9705414	-30.63377825	-46.0712273	-43.30435999	-40.82490311	-38.52681211	-36.29071242	-34.05588958	-31.74246621	-29.27317354	-26.46656965	-48.36101449	-45.27328242	-42.62976717	-40.26146376	-37.98833817	-35.834154	-33.66772742	-31.4268201	-29.03298186	-26.44965549	-23.55182459	-47.95486488	-45.00139714	-42.44829019	-40.15120315	-38.00588516	-35.94502368	-33.89929044	-31.82778166	-29.73711386	-27.62661243	-25.59888192	-47.99989679	-45.14997877	-42.67046396	-40.47677489	-38.43764984	-36.49440362	-34.63805988	-32.83503889	-31.11912797	-29.54857911	-28.35696476	-48.59128395	-45.74038165	-43.30902641	-41.18670425	-39.25416857	-37.44207678	-35.80153106	-34.29063339	-32.95637022	-31.90461185	-31.46925405	-49.62055421	-46.72951766	-44.34275697	-42.26725697	-40.44371768	-38.81821881	-37.37628139	-36.11091665	-35.13282277	-34.61145948	-34.73375462	-48.20403554	-45.78741046	-43.7623198	-42.03807747	-40.50834706	-39.24497445	-38.31455168	-37.69693203	-37.58038586	-47.7355485	-45.69137541	-44.02651634	-42.6720071	-41.61693788	-40.8949578	-40.61101671	-48.2363446	-46.57514531	-45.31763917	-44.43883628	-43.98567827
	2550000	-40.51050724	-38.10567894	-35.91041639	-33.83951905	-31.85530666	-41.19673629	-38.61286641	-36.26231156	-34.02931841	-31.82884068	-29.60721049	-27.27504528	-42.69368568	-39.92785617	-37.46034539	-35.15813157	-32.9262211	-30.69196779	-28.38031114	-25.90728711	-23.10650312	-44.9879188	-41.90600947	-39.26357314	-36.89077084	-34.62982699	-32.46548885	-30.29985059	-28.05843038	-25.66630906	-23.08192893	-20.18194478	-44.57095203	-41.61707092	-39.07752822	-36.78365319	-34.63547544	-32.57416821	-30.52586102	-28.45950828	-26.37039725	-24.256599	-22.22864332	-44.63172969	-41.7718947	-39.30700784	-37.11398879	-35.06826375	-33.12497607	-31.26489525	-29.46642614	-27.74812599	-26.18373275	-24.99686654	-45.20969298	-42.35899281	-39.93845882	-37.81412794	-35.88240107	-34.07921233	-32.4332743	-30.92356744	-29.59021949	-28.54521714	-28.10731818	-46.23936054	-43.34875855	-40.96744704	-38.89536587	-37.07559864	-35.44791969	-34.00895493	-32.74842148	-31.77569954	-31.25004277	-31.37775404	-44.82931566	-42.41514844	-40.38274752	-38.66362648	-37.14385133	-35.88903366	-34.94618411	-34.33546873	-34.22115005	-44.34661779	-42.31641799	-40.66148018	-39.30589434	-38.2496887	-37.53023082	-37.25235072	-44.85369518	-43.20103752	-41.95024471	-41.06643918	-40.61742663
	3400000	-38.12778306	-35.72270871	-33.52402408	-31.45760196	-29.47658152	-38.80869188	-36.22800992	-33.87759339	-31.64252107	-29.4455979	-27.2226685	-24.89145971	-40.31247508	-37.54660851	-35.07017544	-32.77267073	-30.53878141	-28.30341971	-25.9937335	-23.52018828	-20.72275336	-42.59818641	-39.51245449	-36.8770486	-34.50125246	-32.24565186	-30.07999941	-27.91072685	-25.66967621	-23.27967266	-20.69328849	-17.79378283	-42.18466573	-39.23294434	-36.69202855	-34.39654848	-32.25064634	-30.18254611	-28.13871208	-26.07177864	-23.9830071	-21.86899311	-19.84054497	-42.24252379	-39.39072884	-36.91844935	-34.72249572	-32.68047406	-30.73552435	-28.87714366	-27.07573986	-25.35893385	-23.79759893	-22.61568592	-42.81641072	-39.97349008	-37.5528115	-35.42721393	-33.49511806	-31.69027588	-30.04564589	-28.53454704	-27.20464963	-26.16517879	-25.72463613	-43.84794424	-40.96374306	-38.57729954	-36.50692705	-34.68733709	-33.05977807	-31.61853694	-30.36237907	-29.39145229	-28.86684425	-28.99370826	-42.43728315	-40.02533696	-38.00085318	-36.27472784	-34.75946403	-33.5067129	-32.56356119	-31.94967589	-31.83937691	-41.96967837	-39.93139848	-38.2711433	-36.91664408	-35.86401146	-35.14951283	-34.86897282	-42.46786431	-40.81259055	-39.56015949	-38.68217135	-38.23966205
