BPM Serial No.	16elec																																																																																																
BPM Size	110																																																																																																
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																
Meas. Start Time	2016/10/1420:20																																																																																																
Meas. Finish Time	2016/10/1421:07																																																																																																
Linear Scale Origin X(mm)	-102.6																																																																																																
Linear Scale Origin Y(mm)	110.258																																																																																																
note																																																																																																	
																																																																																																	
																																																																																																	
Data Point Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
R(beam)[mm]	20.001	10.004	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.998	-30	-40	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	40.004	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	20.001	10.003	0.002	-9.999	-19.998
Y(beam)[mm]	-49.998	-49.998	-49.998	-49.998	-49.998	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	19.997	19.997	19.998	19.998	19.997	19.997	19.997	19.997	19.998	19.998	19.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	39.997	39.998	39.998	39.997	39.997	39.997	39.997	49.997	49.998	49.998	49.998	49.998
S32-5.1MHz(dB)	-14.3138095	-16.36987799	-19.19508584	-22.31802677	-25.60282815	-17.28078273	-17.21869783	-18.39612976	-20.34933686	-22.75107923	-25.44939914	-28.41894568	-21.47635631	-20.07032934	-19.82126727	-20.51590735	-21.8943894	-23.75708618	-25.97609573	-28.52200597	-31.42938687	-26.0904982	-23.80298174	-22.56097011	-22.21634816	-22.60493367	-23.61518306	-25.09284617	-26.94313178	-29.12740866	-31.71077522	-34.8008257	-28.06488434	-26.03429435	-24.88135698	-24.46552616	-24.68433647	-25.4342085	-26.62175262	-28.17879909	-30.10739678	-32.42348509	-35.25355044	-30.11454797	-28.23099793	-27.10898056	-26.65186487	-26.73462598	-27.29063856	-28.2753122	-29.62897461	-31.34873441	-33.46229851	-36.09944109	-32.32765741	-30.46735611	-29.33614022	-28.81558222	-28.80170507	-29.2145092	-30.0463531	-31.24722067	-32.82114349	-34.79877153	-37.34853536	-34.73035107	-32.81065519	-31.64577623	-31.04481231	-30.94495041	-31.26998654	-31.98457817	-33.06019783	-34.52758809	-36.46801083	-38.9975593	-35.3907332	-34.11986348	-33.43855362	-33.25140707	-33.46453444	-34.08533504	-35.12779292	-36.56387176	-38.50171516	-36.8897478	-36.08192963	-35.79387679	-35.95531391	-36.53280168	-37.52738864	-38.97899207	-39.16860521	-38.75694527	-38.83567751	-39.38091032	-40.41107267
S42-5.1MHz(dB)	-40.57212337	-39.52392984	-38.9526164	-38.85292061	-39.25329129	-39.16736014	-37.67834962	-36.66629506	-36.07503275	-35.89965062	-36.16655174	-36.94613193	-38.71132369	-36.75377121	-35.29279981	-34.2607677	-33.6108521	-33.35931197	-33.52857614	-34.18924451	-35.42474117	-39.2393706	-36.6828013	-34.73674495	-33.24415229	-32.12417332	-31.40719973	-31.07710053	-31.16406928	-31.72094523	-32.86782014	-34.73898579	-37.59658748	-35.02912663	-33.01535522	-31.42228665	-30.21386254	-29.38260513	-28.94065447	-28.92947785	-29.43451027	-30.52505108	-32.3515088	-36.32895122	-33.6763079	-31.52519639	-29.80127331	-28.43168769	-27.43427795	-26.86291812	-26.75776269	-27.20304759	-28.2782896	-30.13082582	-35.48304073	-32.63202712	-30.28326817	-28.34760204	-26.76873541	-25.55548413	-24.80197225	-24.56914781	-24.95554556	-26.05823786	-28.06304367	-35.05246389	-31.92301435	-29.33172008	-27.11047985	-25.25330788	-23.7726621	-22.75512605	-22.31547547	-22.62265194	-23.84053606	-26.08341911	-31.66754827	-28.73639631	-26.17998353	-23.95327879	-22.054714	-20.64749564	-19.95040472	-20.16207685	-21.51888059	-28.65027744	-25.66542735	-22.96365734	-20.55464149	-18.58687867	-17.37731095	-17.38003295	-25.83539089	-22.54250031	-19.42011293	-16.58284324	-14.49707187
S12-5.1MHz(dB)	-34.96839708	-35.39054042	-36.23752544	-37.48318428	-39.11895658	-31.59709739	-31.84251708	-32.53435756	-33.57604756	-34.9168522	-36.57502757	-38.58307501	-28.57763084	-28.65447022	-29.24451293	-30.20265068	-31.43062003	-32.90409962	-34.62345812	-36.63840165	-39.03018805	-25.7621204	-25.58596853	-26.10089597	-27.04445926	-28.25427433	-29.69935624	-31.33069383	-33.14904189	-35.19006343	-37.57105438	-40.43568596	-22.46091038	-22.87724544	-23.86879141	-25.18200473	-26.69296315	-28.35067734	-30.13269284	-32.0519201	-34.17491907	-36.57551381	-39.41073422	-19.30194482	-20.4540421	-21.98173902	-23.69957249	-25.49642438	-27.35209126	-29.29233937	-31.33360629	-33.5377164	-35.98431246	-38.83429642	-16.46308796	-18.47730985	-20.57589731	-22.66896087	-24.72621903	-26.75938829	-28.84032583	-30.99378469	-33.28207609	-35.79611227	-38.74858048	-14.3615936	-17.26225632	-19.8646794	-22.2398797	-24.49190845	-26.67527842	-28.85399292	-31.07834718	-33.44307231	-36.08512185	-39.15881161	-17.29334263	-20.0963639	-22.58442378	-24.90380905	-27.11912872	-29.3414743	-31.66343065	-34.12993489	-36.88879128	-21.48386968	-23.81484393	-26.04844918	-28.24930996	-30.48411777	-32.83085682	-35.39614438	-26.09373404	-28.06729196	-30.13138697	-32.32480393	-34.72446008
S52-5.1MHz(dB)	-34.77468676	-32.36847403	-30.16537923	-28.09804065	-26.11919657	-35.45268175	-32.86873129	-30.51430139	-28.27644275	-26.0781934	-23.85478434	-21.52732092	-36.95890666	-34.18327212	-31.70693096	-29.4040335	-27.1682088	-24.93214715	-22.62202296	-20.1476269	-17.35484814	-39.24951493	-36.15501063	-33.51266557	-31.12994995	-28.87704772	-26.70788913	-24.53505724	-22.29353971	-19.90570436	-17.31938419	-14.42218827	-38.83152177	-35.87591857	-33.32677503	-31.0297724	-28.87883696	-26.80850012	-24.76254111	-22.69684925	-20.6085541	-18.49593909	-16.46976966	-38.90227298	-36.03345154	-33.55812201	-31.35522297	-29.30677425	-27.36239904	-25.50149575	-23.70114125	-21.98466063	-20.42679923	-19.25149673	-39.46827617	-36.61413095	-34.18733961	-32.05918031	-30.12327069	-28.32189578	-26.67281772	-25.1600419	-23.83275889	-22.79960213	-22.3618443	-40.51017229	-37.60918095	-35.2174009	-33.14074218	-31.31809674	-29.68877371	-28.24522391	-26.99447056	-26.02635524	-25.5017492	-25.63772194	-39.08407071	-36.66644304	-34.63847863	-32.90822098	-31.39739166	-30.14467434	-29.19716724	-28.58641757	-28.48152176	-38.61154574	-36.58068732	-34.91140366	-33.55615091	-32.50052406	-31.78750428	-31.51071306	-39.1253515	-37.4620585	-36.21037792	-35.3324688	-34.88941044
S22-5.1MHz(dB)	-22.58660194	-22.59291801	-22.59471138	-22.59434151	-22.59158854	-22.5973767	-22.60045396	-22.604162	-22.60611906	-22.60508035	-22.60418236	-22.5983854	-22.6033339	-22.60686048	-22.61090437	-22.61149132	-22.61208493	-22.60993984	-22.6087938	-22.60744288	-22.5962597	-22.59697473	-22.60469236	-22.60694933	-22.61082525	-22.6062638	-22.60902746	-22.61121646	-22.60824359	-22.60134925	-22.59857213	-22.58860995	-22.5901388	-22.59784553	-22.59835584	-22.60233497	-22.60409586	-22.60459994	-22.6025611	-22.59943283	-22.59690166	-22.59181873	-22.58751733	-22.58172924	-22.59285367	-22.59556219	-22.60101105	-22.60320569	-22.60438261	-22.60372853	-22.60390716	-22.6022389	-22.59530104	-22.58478359	-22.59036162	-22.59935785	-22.60101149	-22.60607587	-22.60684005	-22.603708	-22.60718002	-22.6094277	-22.60685012	-22.59787065	-22.59831778	-22.59600896	-22.60229834	-22.60547341	-22.60639558	-22.60944427	-22.61136326	-22.61134889	-22.60680225	-22.59972978	-22.59974269	-22.59252423	-22.5937496	-22.59998516	-22.60212956	-22.60407241	-22.5968929	-22.59282877	-22.59789142	-22.59650895	-22.59075763	-22.58646473	-22.59213469	-22.59555216	-22.59525067	-22.5946899	-22.59029038	-22.58682598	-22.58220715	-22.58387368	-22.58644085	-22.58416651	-22.58024824
S12-S52	-0.000402504	-0.007074613	-0.015604978	-0.02600283	-0.038368074	0.009431725	0.00285033	-0.006184591	-0.01761297	-0.03171572	-0.049325802	-0.072103383	0.023056968	0.017385224	0.00851559	-0.002975159	-0.016991014	-0.034039389	-0.055372654	-0.08358891	-0.124418089	0.040607834	0.036996997	0.028435814	0.016674997	0.002675012	-0.013459629	-0.032195314	-0.0547869	-0.083693633	-0.12292755	-0.180549169	0.063887716	0.055725231	0.04249547	0.026980669	0.010295826	-0.007428666	-0.026649342	-0.048339877	-0.073678736	-0.104072962	-0.139443263	0.097021286	0.079118912	0.058606059	0.038261811	0.018860247	5.08731E-05	-0.01877228	-0.038182601	-0.05852991	-0.079327479	-0.097563375	0.139629472	0.104394061	0.074057873	0.048596496	0.026857721	0.007560685	-0.010243399	-0.027003474	-0.042650512	-0.056221553	-0.064642014	0.181960916	0.123883929	0.084226906	0.055241746	0.032451385	0.013593487	-0.002619671	-0.016766051	-0.028693016	-0.037383384	-0.041236421	0.125450835	0.084218331	0.055725518	0.034235334	0.017136474	0.003013078	-0.008573697	-0.017555299	-0.02335639	0.072562544	0.049631169	0.031874836	0.017685576	0.006196158	-0.002913525	-0.009584477	0.038521352	0.026109892	0.015678363	0.007081918	0.000345302
S12+S52	0.036097731	0.041076496	0.046447772	0.052724942	0.060503208	0.043191217	0.048306561	0.053424833	0.059514282	0.067623404	0.078993143	0.095647166	0.051441691	0.056457292	0.060477302	0.064762209	0.070632276	0.079310902	0.092513953	0.113040579	0.146780602	0.062412742	0.06813419	0.070644003	0.072205614	0.074649338	0.07893262	0.086457252	0.098799588	0.118489433	0.149380692	0.19957071	0.086767605	0.087879161	0.085616711	0.083155448	0.082255328	0.083899553	0.088936047	0.098278204	0.112788396	0.133738642	0.160847181	0.119715563	0.110694934	0.100593934	0.092370729	0.087360359	0.085736908	0.087386326	0.092426348	0.100616543	0.111082644	0.120435956	0.160892063	0.133928141	0.113111648	0.098493099	0.089212028	0.084285386	0.08252266	0.083411481	0.085994233	0.088672276	0.087741429	0.200820034	0.150221211	0.118913364	0.099296511	0.086792076	0.079146296	0.074785291	0.072627557	0.071240745	0.068772125	0.063270222	0.147675052	0.113575072	0.092802644	0.079485371	0.070983338	0.065213922	0.060796294	0.056868034	0.051971171	0.096029281	0.079279184	0.067805051	0.059682981	0.05362077	0.0485684	0.04356443	0.060640195	0.052897077	0.046617707	0.041311891	0.036366609
(S12-S52)/(S12+S52)	-0.0111504	-0.17223019	-0.335968269	-0.493178921	-0.634149409	0.218371361	0.059005018	-0.115762473	-0.29594527	-0.469005088	-0.624431443	-0.753847563	0.448215589	0.307935854	0.140806384	-0.045939741	-0.240555938	-0.429189275	-0.598533003	-0.739459322	-0.847646677	0.650633719	0.543001931	0.402522691	0.230937682	0.035834368	-0.170520487	-0.372384188	-0.554525586	-0.706338371	-0.822914579	-0.904687712	0.736308399	0.634112002	0.496345515	0.324460625	0.125169109	-0.088542379	-0.299646131	-0.491867729	-0.653247483	-0.778181687	-0.8669301	0.810431691	0.714747361	0.582600329	0.414220085	0.215890219	0.000593363	-0.214819425	-0.413113812	-0.581712598	-0.714130275	-0.810085112	0.867845618	0.77947816	0.654732512	0.493400009	0.301054926	0.089703388	-0.124128321	-0.323738091	-0.495969446	-0.634037551	-0.736733093	0.906089458	0.824676678	0.708304798	0.556331191	0.373898014	0.171751393	-0.035029223	-0.230849722	-0.402761318	-0.543583371	-0.651750856	0.84950595	0.741521262	0.600473386	0.430712381	0.241415444	0.046202992	-0.141023346	-0.308702417	-0.449410498	0.755629357	0.626030266	0.470095306	0.296325286	0.11555518	-0.059988087	-0.220006944	0.635244517	0.493598014	0.336317763	0.171425649	0.009495021
