BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2016/10/1415:50																																																																																																	
Meas. Finish Time	2016/10/1416:37																																																																																																	
Linear Scale Origin X(mm)	-102.6																																																																																																	
Linear Scale Origin Y(mm)	110.258																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-122.601	-112.604	-102.602	-92.601	-82.601	-132.602	-122.604	-112.604	-102.602	-92.601	-82.602	-72.6	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.599	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.599	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-142.604	-132.605	-122.604	-112.603	-102.602	-92.601	-82.601	-72.6	-62.599	-132.603	-122.604	-112.603	-102.602	-92.601	-82.601	-72.6	-122.601	-112.604	-102.602	-92.601	-82.602
Linear Scale Y (mm)		60.262	60.262	60.262	60.262	60.262	70.259	70.259	70.259	70.259	70.259	70.259	70.259	80.258	80.258	80.258	80.258	80.258	80.258	80.258	80.258	80.258	90.258	90.258	90.258	90.258	90.258	90.258	90.258	90.258	90.258	90.258	90.258	100.258	100.258	100.258	100.258	100.258	100.258	100.258	100.258	100.258	100.258	100.258	110.258	110.258	110.258	110.258	110.258	110.258	110.258	110.258	110.258	110.258	110.258	120.257	120.257	120.257	120.257	120.257	120.257	120.257	120.257	120.257	120.257	120.257	130.257	130.257	130.257	130.257	130.257	130.257	130.257	130.257	130.257	130.257	130.257	140.258	140.258	140.258	140.258	140.258	140.258	140.258	140.258	140.258	150.258	150.258	150.258	150.258	150.258	150.258	150.258	160.258	160.258	160.258	160.258	160.258
R(beam)[mm]		20.001	10.004	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.998	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40.001	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40.001	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	40.004	30.005	20.004	10.003	0.002	-9.999	-19.999	-30	-40.001	30.003	20.004	10.003	0.002	-9.999	-19.999	-30	20.001	10.004	0.002	-9.999	-19.998
Y(beam)[mm]		-49.996	-49.996	-49.996	-49.996	-49.996	-39.999	-39.999	-39.999	-39.999	-39.999	-39.999	-39.999	-30	-30	-30	-30	-30	-30	-30	-30	-30	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	0	0	0	0	0	0	0	0	0	0	0	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	30	30	30	30	30	30	30	30	30	40	40	40	40	40	40	40	50	50	50	50	50
Net Ana Temperature[℃]		23.66211633	23.70701896	23.72279927	23.75467411	23.78491041	23.85253181	23.89254739	23.92085173	23.9534095	23.9834147	23.98948585	23.99637237	23.93398857	23.89287717	23.85787847	23.79193197	23.78378603	23.73660348	23.69644248	23.65486887	23.61785251	23.48386653	23.44795637	23.4174578	23.38665022	23.35029343	23.34670995	23.3195222	23.28955077	23.25994028	23.21640093	23.20913269	23.18781355	23.17194495	23.17950922	23.18320956	23.19757725	23.20465853	23.20205661	23.20229551	23.23716437	23.25102051	23.25837964	23.33810179	23.36390288	23.38056089	23.39675149	23.43111659	23.53458063	23.47420151	23.51104908	23.50559855	23.56078421	23.61799273	23.74386912	23.82802908	23.90376006	23.83677486	23.85150091	23.92358089	23.94465853	23.96979226	23.98728642	24.0015087	24.01400156	23.92265126	23.88795897	23.85496494	23.81552843	23.7722254	23.73225915	23.68991431	23.65447936	23.60630226	23.59208777	23.57625032	23.40340691	23.34036874	23.31172682	23.2909556	23.28501428	23.25719034	23.23059725	23.19815373	23.19601143	23.16258634	23.17670735	23.18145676	23.19872501	23.21663464	23.24495715	23.24369774	23.30439886	23.32963126	23.33999481	23.35822903	23.40212153
BPM Temperature[℃]		21.55673851	21.58119969	21.6156323	21.64406648	21.66728123	21.72607115	21.75523241	21.76512594	21.76922877	21.7368216	21.69784472	21.66211374	21.52926513	21.49672812	21.46730719	21.42303298	21.39332641	21.34513113	21.29994807	21.25886783	21.22134511	21.12321475	21.08236822	21.05406388	21.03165412	21.0156323	20.99465074	21.01137367	20.96829395	20.95782914	20.94004155	20.92264347	20.88353674	20.90503765	20.9211893	20.94668917	20.96886523	21.00085692	21.03804207	21.07224098	21.11184108	21.13754869	21.17314983	21.25647884	21.28509478	21.30599844	21.33360166	21.35990652	21.37662945	21.40202545	21.43375747	21.45720592	21.48403012	21.51088029	21.61007531	21.63778239	21.65697222	21.68070631	21.71550247	21.74341729	21.76580109	21.78397819	21.77312386	21.75840042	21.71661906	21.54263828	21.48618541	21.43552324	21.37037133	21.31173721	21.26712542	21.21368476	21.17704492	21.13765256	21.11337315	21.10376526	21.01217865	20.98335497	20.96650221	20.93339392	20.90477798	20.88473124	20.86847572	20.83422488	20.81996884	20.85286938	20.87307193	20.90467411	20.94061283	20.97153986	21.00329784	21.03939237	21.13136848	21.15419372	21.198416	21.22157881	21.2396001
Frequency (Hz) / Data (dB)	850000	-22.55582657	-22.55953302	-22.55380643	-22.55447626	-22.55014082	-22.55762667	-22.55256618	-22.55138438	-22.53724287	-22.54938999	-22.53511168	-22.54767775	-22.54873137	-22.54767948	-22.55155801	-22.54866202	-22.54939893	-22.55350224	-22.54458327	-22.54708324	-22.55094062	-22.55305649	-22.55100429	-22.5506312	-22.55512065	-22.55664265	-22.53416674	-22.55221964	-22.56054588	-22.54492233	-22.56191199	-22.55754251	-22.5614072	-22.54829095	-22.56063421	-22.56628751	-22.54423623	-22.54092484	-22.55768012	-22.55839041	-22.55997502	-22.55959372	-22.56234042	-22.55786027	-22.55954173	-22.56492686	-22.5607698	-22.55669591	-22.56346788	-22.56065077	-22.56016378	-22.56227531	-22.56109727	-22.53703286	-22.55042954	-22.55531125	-22.55175625	-22.55350502	-22.5503208	-22.54940008	-22.55055227	-22.54986595	-22.54813508	-22.54639791	-22.54811927	-22.54875407	-22.54844842	-22.5450881	-22.52862954	-22.52501383	-22.54664202	-22.54980833	-22.55039616	-22.55306274	-22.55821281	-22.55138541	-22.55313041	-22.5571633	-22.5546313	-22.55685384	-22.55633933	-22.55661798	-22.55795075	-22.55943401	-22.55422234	-22.55954946	-22.56285644	-22.55901197	-22.56078726	-22.56606197	-22.56139713	-22.54570301	-22.56656732	-22.54862354	-22.56410288	-22.56170402	-22.53968567
	1700000	-22.58626691	-22.58498586	-22.58420706	-22.58184357	-22.57864937	-22.5813034	-22.57723064	-22.57796448	-22.57097693	-22.5761686	-22.56662756	-22.57299435	-22.57431774	-22.57310485	-22.57599242	-22.57417742	-22.57538909	-22.57706213	-22.57157608	-22.57416933	-22.57642121	-22.57866326	-22.58009792	-22.57868944	-22.58280681	-22.58568936	-22.57467504	-22.5820119	-22.59017519	-22.57984008	-22.58823066	-22.58899088	-22.5951166	-22.58844523	-22.59532939	-22.59856719	-22.58396788	-22.58474375	-22.59359113	-22.59608027	-22.59636364	-22.595286	-22.59543499	-22.59120245	-22.59409694	-22.59788173	-22.59682523	-22.59146446	-22.59572996	-22.59359511	-22.59153021	-22.59100232	-22.58861281	-22.57513712	-22.5814995	-22.58410088	-22.58265589	-22.58297111	-22.57798527	-22.57868826	-22.57931804	-22.57591526	-22.57548821	-22.57498332	-22.57173683	-22.57173534	-22.57250995	-22.57130896	-22.56255567	-22.55908517	-22.57362955	-22.57474638	-22.57701775	-22.57867384	-22.58175106	-22.57718996	-22.58026156	-22.58319882	-22.58284403	-22.58522542	-22.58530503	-22.58739374	-22.58852231	-22.58905566	-22.58640585	-22.59405269	-22.59593432	-22.59551079	-22.59368097	-22.59592142	-22.59480845	-22.5868786	-22.59619644	-22.58735323	-22.59548504	-22.59521161	-22.5807058
	2550000	-22.59719034	-22.59850862	-22.59608249	-22.59429287	-22.59176674	-22.59160221	-22.59000606	-22.59045997	-22.58505893	-22.59029202	-22.58253742	-22.58618697	-22.58592589	-22.58738285	-22.58886319	-22.59004281	-22.59077437	-22.59211269	-22.58673769	-22.58756472	-22.59099883	-22.59198046	-22.5935483	-22.59413212	-22.59906119	-22.59914816	-22.59312422	-22.5972072	-22.60460033	-22.59700324	-22.60228972	-22.60208895	-22.60671689	-22.60199607	-22.60934302	-22.61222246	-22.6006433	-22.60090992	-22.60714626	-22.61023155	-22.61082424	-22.60906784	-22.60925857	-22.60546268	-22.60819375	-22.61037909	-22.61052968	-22.60645801	-22.60962004	-22.60822904	-22.60638982	-22.60560399	-22.60338215	-22.58971238	-22.59447427	-22.59500381	-22.59705382	-22.59652357	-22.59279717	-22.59358639	-22.5945688	-22.59112018	-22.59103063	-22.58843969	-22.5865136	-22.58556705	-22.5867649	-22.5860992	-22.57895072	-22.57633213	-22.58747734	-22.59049442	-22.59108525	-22.59194058	-22.5939808	-22.58995341	-22.59404394	-22.59689312	-22.59880372	-22.60132265	-22.60192096	-22.60125302	-22.60325823	-22.60392701	-22.60162316	-22.60579274	-22.60799655	-22.60973083	-22.60704364	-22.61225377	-22.60752613	-22.59956076	-22.60677828	-22.60105896	-22.60928836	-22.60548537	-22.59474743
	3400000	-22.59594334	-22.59702959	-22.59461257	-22.59345616	-22.59015042	-22.5914632	-22.59361317	-22.59259418	-22.58877191	-22.59225307	-22.58643119	-22.58686805	-22.58700756	-22.58930239	-22.59273154	-22.59277625	-22.59483303	-22.59512975	-22.59040049	-22.59250676	-22.5906078	-22.59047254	-22.59616659	-22.59927951	-22.60167571	-22.60391296	-22.59721133	-22.6026997	-22.60731255	-22.59948163	-22.60317401	-22.59973003	-22.60421249	-22.60262036	-22.60982281	-22.61373311	-22.60538431	-22.60391765	-22.60757548	-22.61105272	-22.61100757	-22.60790361	-22.6044826	-22.60136096	-22.60696676	-22.61091961	-22.61139898	-22.60898196	-22.6105129	-22.61115137	-22.60901198	-22.60770794	-22.60359344	-22.58950553	-22.59432189	-22.59702719	-22.59910618	-22.60011564	-22.59763205	-22.5987754	-22.59855868	-22.59548779	-22.59543278	-22.59159859	-22.58725909	-22.58594616	-22.59047709	-22.59067167	-22.58646714	-22.58580733	-22.59438211	-22.59810965	-22.59685544	-22.59613089	-22.59680179	-22.59191776	-22.5949181	-22.59936046	-22.60201808	-22.60576711	-22.60419545	-22.60381147	-22.60633733	-22.60410142	-22.60082487	-22.60547716	-22.60772539	-22.60915672	-22.60781096	-22.609453	-22.60673331	-22.59941122	-22.60481262	-22.60117769	-22.60726473	-22.60312932	-22.59418039
