BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2016/10/1415:50																																																																																																	
Meas. Finish Time	2016/10/1416:37																																																																																																	
Linear Scale Origin X(mm)	-102.6																																																																																																	
Linear Scale Origin Y(mm)	110.258																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-122.601	-112.604	-102.602	-92.601	-82.601	-132.602	-122.604	-112.604	-102.602	-92.601	-82.602	-72.6	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.599	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.599	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-142.604	-132.605	-122.604	-112.603	-102.602	-92.601	-82.601	-72.6	-62.599	-132.603	-122.604	-112.603	-102.602	-92.601	-82.601	-72.6	-122.601	-112.604	-102.602	-92.601	-82.602
Linear Scale Y (mm)		60.262	60.262	60.262	60.262	60.262	70.259	70.259	70.259	70.259	70.259	70.259	70.259	80.258	80.258	80.258	80.258	80.258	80.258	80.258	80.258	80.258	90.258	90.258	90.258	90.258	90.258	90.258	90.258	90.258	90.258	90.258	90.258	100.258	100.258	100.258	100.258	100.258	100.258	100.258	100.258	100.258	100.258	100.258	110.258	110.258	110.258	110.258	110.258	110.258	110.258	110.258	110.258	110.258	110.258	120.257	120.257	120.257	120.257	120.257	120.257	120.257	120.257	120.257	120.257	120.257	130.257	130.257	130.257	130.257	130.257	130.257	130.257	130.257	130.257	130.257	130.257	140.258	140.258	140.258	140.258	140.258	140.258	140.258	140.258	140.258	150.258	150.258	150.258	150.258	150.258	150.258	150.258	160.258	160.258	160.258	160.258	160.258
R(beam)[mm]		20.001	10.004	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.998	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40.001	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40.001	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	40.004	30.005	20.004	10.003	0.002	-9.999	-19.999	-30	-40.001	30.003	20.004	10.003	0.002	-9.999	-19.999	-30	20.001	10.004	0.002	-9.999	-19.998
Y(beam)[mm]		-49.996	-49.996	-49.996	-49.996	-49.996	-39.999	-39.999	-39.999	-39.999	-39.999	-39.999	-39.999	-30	-30	-30	-30	-30	-30	-30	-30	-30	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	0	0	0	0	0	0	0	0	0	0	0	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	30	30	30	30	30	30	30	30	30	40	40	40	40	40	40	40	50	50	50	50	50
Net Ana Temperature[℃]		23.64312906	23.742537	23.71145157	23.74132173	23.77388471	23.84852246	23.88235523	23.89656453	23.95041807	23.97445599	23.99352116	23.99146196	23.9253986	23.89774085	23.88150351	23.82690989	23.79384056	23.75419112	23.70874838	23.66973773	23.63008569	23.49653337	23.45609452	23.42444041	23.39109842	23.35876396	23.33532329	23.32202285	23.30017917	23.2711867	23.24046222	23.21129577	23.17037912	23.19069852	23.18670475	23.18538561	23.18956635	23.20207219	23.18997663	23.23744222	23.22958193	23.25026227	23.27149572	23.34310309	23.3600779	23.37439107	23.39101532	23.41844456	23.44302519	23.52894053	23.48731239	23.54221761	23.56345365	23.60397299	23.72934043	23.77217606	23.80878473	23.84887302	23.87740587	23.9151571	23.93466632	23.96821605	23.99459881	23.99905998	24.04764996	23.94774344	23.92195014	23.87321215	23.92345105	23.86518567	23.75068034	23.71652558	23.66480135	23.62165671	23.58724227	23.52455985	23.39419631	23.35413918	23.31842119	23.3006362	23.28072708	23.27853285	23.23346144	23.21657232	23.20139185	23.16659309	23.16592314	23.17927811	23.19848351	23.22597767	23.2217424	23.26423267	23.30083615	23.31002856	23.32886263	23.35187743	23.36953259
BPM Temperature[℃]		21.54762399	21.57442223	21.60830953	21.62783693	21.65556998	21.72918722	21.74149572	21.76447676	21.76847572	21.74848091	21.71259413	21.67442223	21.54481953	21.50755648	21.47629187	21.43832771	21.39678006	21.35967281	21.32474682	21.27060504	21.23152428	21.1295248	21.08896391	21.06735913	21.04185926	21.01500909	21.00168787	21.0028564	20.9830953	20.9578551	20.95544015	20.92318878	20.88366658	20.89091145	20.90724487	20.93035575	20.9634121	20.98818489	21.0280187	21.05764736	21.09218385	21.12765515	21.15930927	21.25803687	21.28018696	21.29397559	21.31950143	21.34640353	21.38379642	21.39340431	21.43199169	21.44962347	21.47577253	21.50044144	21.60314204	21.63905479	21.66273695	21.67281226	21.71025708	21.72900545	21.7593612	21.77834329	21.77857699	21.76933264	21.73069333	21.56003635	21.51171124	21.46130875	21.38750974	21.32614905	21.28026487	21.2265905	21.18732797	21.14848091	21.13557518	21.10534926	21.02414957	20.99462477	20.96969618	20.94713062	20.92186445	20.89039211	20.87073487	20.85027266	20.83214749	20.856349	20.87517528	20.89254739	20.93271877	20.9618281	20.9959491	21.03027785	21.12331862	21.1466632	21.18192677	21.2086471	21.23669177
Frequency (Hz) / Data (dB)	850000	-55.54522402	-54.80098678	-54.53605007	-54.74909188	-55.50475418	-53.6956125	-52.50515545	-51.83237336	-51.5970493	-51.80184984	-52.44227329	-53.59004124	-52.72262059	-51.0396164	-49.83975561	-49.26441284	-49.06213399	-49.27295189	-49.82311325	-50.95501441	-52.65786944	-52.63150083	-50.38103304	-48.69592625	-47.632394	-46.99490304	-46.7703074	-46.89812747	-47.57149001	-48.66222069	-50.28539156	-52.54502237	-50.63525359	-48.32171865	-46.67273128	-45.52898526	-44.77016621	-44.53980189	-44.7399999	-45.45540406	-46.60875796	-48.20102054	-50.54672057	-48.87758905	-46.52293177	-44.78231396	-43.52630923	-42.73409083	-42.5500276	-42.77143365	-43.50011162	-44.70587169	-46.45190595	-48.84245551	-47.54200501	-44.93224476	-43.00197457	-41.60291747	-40.71256831	-40.46873347	-40.73991818	-41.56042008	-42.9242323	-44.8446083	-47.42618085	-46.47236662	-43.5432997	-41.25436614	-39.67592079	-38.62955637	-38.3263099	-38.66399425	-39.62905336	-41.22885383	-43.43475868	-46.34999639	-42.37363446	-39.7206228	-37.76994829	-36.52854113	-36.11842391	-36.49997321	-37.71065862	-39.64749871	-42.21959231	-38.35544339	-35.85118014	-34.2292608	-33.57574082	-34.17980702	-35.78905116	-38.26161393	-33.99541356	-31.67636139	-30.7930116	-31.61005302	-33.84758855
	1700000	-49.57364168	-48.82185632	-48.56542753	-48.79250849	-49.51691568	-47.72694247	-46.57025487	-45.90253944	-45.68160727	-45.87880726	-46.53871605	-47.64540231	-46.79208987	-45.12949999	-44.0123422	-43.39590156	-43.19315377	-43.38117227	-43.95489823	-45.0759081	-46.70020296	-46.75995495	-44.47966565	-42.83301447	-41.7687827	-41.13932083	-40.92151892	-41.08133645	-41.72635463	-42.80895001	-44.39717749	-46.64818959	-44.76457474	-42.4736943	-40.82201262	-39.67628185	-38.9750962	-38.72721507	-38.93580661	-39.6344241	-40.75339684	-42.36044225	-44.67372415	-43.05306898	-40.6875912	-38.9387988	-37.70953455	-36.93461862	-36.72278484	-36.95344671	-37.66865166	-38.87636192	-40.61721718	-42.97380213	-41.69782992	-39.10888809	-37.16678831	-35.79083796	-34.91293902	-34.65546371	-34.92826789	-35.74178859	-37.11038401	-39.01866497	-41.58733034	-40.63405032	-37.7199035	-35.46383535	-33.87291972	-32.85027098	-32.53097381	-32.85525655	-33.8270248	-35.42131503	-37.62259914	-40.51278092	-36.57512408	-33.92565285	-31.96736287	-30.72933707	-30.30160723	-30.70082874	-31.90865773	-33.84123999	-36.43111548	-32.56356646	-30.05529348	-28.42891324	-27.79636836	-28.38137274	-29.99225085	-32.47249055	-28.20839026	-25.87485707	-24.99262361	-25.81580171	-28.07792774
	2550000	-46.18535516	-45.44126259	-45.1928165	-45.41399397	-46.14193834	-44.36920004	-43.19621713	-42.52301717	-42.3070673	-42.50399252	-43.16198438	-44.28034613	-43.41509964	-41.76427352	-40.63097976	-40.0235419	-39.80661751	-40.01233592	-40.59423244	-41.69348044	-43.3285965	-43.39282939	-41.11305561	-39.47158529	-38.40269544	-37.76293941	-37.53801304	-37.71238527	-38.35732514	-39.43810034	-41.03315027	-43.27772364	-41.39734475	-39.10259072	-37.44523015	-36.31088706	-35.61226616	-35.37058513	-35.57183725	-36.26151971	-37.38665574	-38.99693142	-41.2890894	-39.69364713	-37.32343735	-35.57117618	-34.34314566	-33.57514674	-33.35781022	-33.58574872	-34.30418638	-35.51534742	-37.25436987	-39.61730751	-38.33764808	-35.74474064	-33.8020522	-32.4231153	-31.55443559	-31.29139953	-31.56214325	-32.37806507	-33.74095295	-35.65505182	-38.22863257	-37.28054188	-34.35517392	-32.09971468	-30.51056945	-29.48723227	-29.16374607	-29.49088853	-30.46482622	-32.0527611	-34.25837894	-37.14940507	-33.21424961	-30.56372757	-28.60112797	-27.36370513	-26.9348785	-27.33375809	-28.54390606	-30.48420558	-33.07831324	-29.2052625	-26.69272539	-25.05806641	-24.43540086	-25.01345337	-26.62475031	-29.10820623	-24.84708943	-22.50624996	-21.62496484	-22.45106151	-24.72403254
	3400000	-43.79889404	-43.0538785	-42.80396218	-43.03290463	-43.76501134	-41.98727042	-40.81167632	-40.13718384	-39.91096334	-40.12106842	-40.77034531	-41.90033111	-41.03833778	-39.37825048	-38.25440349	-37.64126234	-37.42318603	-37.6215132	-38.21058123	-39.31556788	-40.94413192	-41.01477644	-38.72754276	-37.08294564	-36.01212681	-35.37602852	-35.15682994	-35.32779747	-35.97020646	-37.05348592	-38.64093716	-40.89946933	-39.01939485	-36.71947326	-35.06543167	-33.92677883	-33.23071785	-32.98888915	-33.19265471	-33.8820279	-35.00723107	-36.61902267	-38.90386316	-37.31326763	-34.94081659	-33.18901714	-31.95629181	-31.19629983	-30.96854891	-31.19854916	-31.91899156	-33.12939221	-34.87036666	-37.2360402	-35.96109641	-33.36393628	-31.41969921	-30.04050337	-29.17470048	-28.90746508	-29.17965308	-29.99381701	-31.35638783	-33.27553606	-35.85158681	-34.90121457	-31.97364286	-29.72541413	-28.12727219	-27.10754895	-26.78072739	-27.10617894	-28.08022386	-29.67252582	-31.8758535	-34.77470547	-30.83810035	-28.18304733	-26.21851404	-24.97934495	-24.5479168	-24.94968514	-26.15945251	-28.10018482	-30.70409442	-26.82686358	-24.30809138	-22.67151589	-22.05377368	-22.62801951	-24.24047895	-26.72931264	-22.46773566	-20.12320607	-19.23994154	-20.06710757	-22.3490822
