BPM Serial No.	16elec																					
BPM Size	110																					
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																					
Meas. Start Time	2016/10/1420:02																					
Meas. Finish Time	2016/10/1420:16																					
Linear Scale Origin X(mm)	-102.6																					
Linear Scale Origin Y(mm)	110.258																					
note																						
																						
																						
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Linear Scale X (mm)		-122.601	-102.602	-82.601	-142.604	-122.604	-102.602	-82.601	-62.599	-142.604	-122.604	-102.602	-82.601	-62.6	-142.604	-122.604	-102.602	-82.601	-62.6	-122.601	-102.602	-82.601
Linear Scale Y (mm)		70.259	70.259	70.259	90.255	90.255	90.255	90.255	90.255	110.255	110.255	110.255	110.255	110.255	130.254	130.254	130.254	130.254	130.254	150.254	150.254	150.254
R(beam)[mm]		20.001	0.002	-19.999	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40	40.004	20.004	0.002	-19.999	-40	20.001	0.002	-19.999
Y(beam)[mm]		-39.999	-39.999	-39.999	-20.003	-20.003	-20.003	-20.003	-20.003	-0.003	-0.003	-0.003	-0.003	-0.003	19.996	19.996	19.996	19.996	19.996	39.996	39.996	39.996
Net Ana Temperature[℃]		23.27076344	23.28322254	23.30127499	23.36131135	23.40076344	23.38491041	23.40112179	23.40391067	23.46993768	23.4907115	23.52748896	23.5603973	23.61215009	23.70381459	23.74821345	23.78064139	23.81305895	23.85192418	23.94061542	23.96456245	23.98230849
BPM Temperature[℃]		20.97057907	21.01415217	21.05730979	21.14162555	21.17696702	21.19384575	21.21054272	21.2323033	21.29397559	21.31763178	21.34115814	21.36816411	21.39761101	21.48854843	21.52508439	21.55702415	21.58299143	21.62015061	21.68270579	21.68535445	21.65829655
Frequency (Hz) / Data (dB)	850000	-49.45750673	-50.20116248	-52.5167134	-44.7352223	-44.34801162	-45.7641918	-48.45221162	-52.45160602	-39.43047888	-40.04100584	-42.37478902	-45.73888353	-50.14552347	-34.04472807	-36.31977239	-40.01514532	-44.26914457	-49.31366351	-33.99903536	-39.37350834	-44.67910801
	1700000	-43.57335196	-44.28368918	-46.56515179	-38.90585648	-38.50055942	-39.89349009	-42.57153023	-46.53738037	-33.62255729	-34.21685151	-36.54117107	-39.87796576	-44.2379928	-28.24211235	-30.50660959	-34.18601141	-38.45143957	-43.46317672	-28.19150179	-33.55916509	-38.83987024
	2550000	-40.1921569	-40.91886828	-43.18472464	-35.53290505	-35.12535979	-36.51907994	-39.19892065	-43.16510401	-30.25883862	-30.83897198	-33.16163419	-36.50247211	-40.87272358	-24.87374447	-27.13261789	-30.81596319	-35.07763855	-40.09436283	-24.82201338	-30.19277196	-35.46418042
	3400000	-37.8040757	-38.52434363	-40.79675693	-33.15363293	-32.73891878	-34.13523439	-36.80661045	-40.77620223	-27.8761734	-28.45074186	-30.77655149	-34.1110427	-38.48424364	-22.49014533	-24.74487613	-28.42667455	-32.69465025	-37.71448582	-22.43693047	-27.81315111	-33.0823642
	4250000	-35.95414224	-36.67492663	-38.93981007	-31.30347437	-30.88686023	-32.27837055	-34.95172478	-38.91781747	-26.02268187	-26.59765917	-28.917618	-32.25606948	-36.63706283	-20.63667854	-22.88870688	-26.5695279	-30.84034554	-35.87177154	-20.58412422	-25.95957929	-31.23091357
	5100000	-34.43777242	-35.15848555	-37.42942819	-29.79125758	-29.36774623	-30.76037411	-33.43663608	-37.41228498	-24.50631803	-25.07596203	-27.39687517	-30.73796216	-35.11687972	-19.1192333	-21.36899401	-25.05100434	-29.32414055	-34.3564363	-19.06668594	-24.443709	-29.71852106
	5950000	-33.15539687	-33.87129002	-36.14797296	-28.50487676	-28.07725277	-29.46889607	-32.14579131	-36.12530592	-23.21718113	-23.78370002	-26.10516667	-29.44834461	-33.82820687	-17.83055814	-20.07843844	-23.76031886	-28.03622531	-33.07709561	-17.77878012	-23.15567549	-28.43271499
	6800000	-32.04197157	-32.75638099	-35.03061071	-27.38881729	-26.96010522	-28.35166143	-31.03055706	-35.01213082	-22.10036986	-22.66549643	-24.98537355	-28.29804942	-32.71569937	-16.71441769	-18.95922488	-22.64088822	-26.90568554	-31.96423979	-16.65846096	-22.04126457	-27.31655327
	7650000	-31.05398213	-31.7675775	-34.04420782	-26.40261281	-25.95665997	-27.33919227	-30.03758112	-34.01557547	-21.10759388	-21.65750209	-23.99348598	-27.33139781	-31.73200063	-15.719728	-17.95659455	-21.64633862	-25.92253784	-30.96786462	-15.66859907	-21.04865488	-26.31203598
	8500000	-30.13886244	-30.85237919	-33.12505534	-25.48585919	-25.05407163	-26.44573447	-29.12837685	-33.10723218	-20.19366161	-20.76070868	-23.08012025	-26.42143658	-30.81430289	-14.80827804	-17.05143425	-20.73998317	-25.01348688	-30.05998074	-14.75190781	-20.13439345	-25.40713867
	9350000	-29.28172503	-29.99879673	-32.27150164	-24.63011862	-24.20280119	-25.59715091	-28.27909653	-32.24933998	-19.34196386	-19.91114188	-22.23020832	-25.57368646	-29.95826233	-13.94941636	-16.19998212	-19.88877481	-24.16241373	-29.21022499	-13.89652906	-19.28129089	-24.54289614
	10200000	-28.4751223	-29.19565129	-31.46376061	-23.8229927	-23.40264267	-24.79827783	-27.47634271	-31.4461622	-18.53580195	-19.11067247	-21.43235327	-24.77712446	-29.15647251	-13.13970932	-15.39811792	-19.08820769	-23.36234244	-28.40079822	-13.0871611	-18.47588898	-23.74487015
	11050000	-27.71008683	-28.43280659	-30.69841552	-23.05682376	-22.64478955	-24.0443891	-26.71912089	-30.68125414	-17.77298172	-18.35436671	-20.67885749	-24.02089682	-28.395434	-12.37330152	-14.63967875	-18.33184772	-22.60456988	-27.64044372	-12.32114455	-17.71316391	-22.98178528
	11900000	-26.9883092	-27.71320033	-29.97582978	-22.33513011	-21.92927816	-23.33116183	-26.00416059	-29.95697281	-17.05279265	-17.64112657	-19.96703769	-23.31005907	-27.67470339	-11.6487698	-13.92377699	-17.61816981	-21.88863354	-26.91889459	-11.59715796	-16.99222837	-22.26161813
	12750000	-26.30705033	-27.03695664	-29.29786112	-21.65598741	-21.25724695	-22.66108094	-25.33111795	-29.28156882	-16.37419925	-16.96972865	-19.29932483	-22.64005639	-26.99714093	-10.96699829	-13.2496231	-16.94750327	-21.21535621	-26.23966021	-10.91536938	-16.31449378	-21.58059798
	13600000	-25.66992868	-26.40167709	-28.66006775	-21.01954604	-20.62432494	-22.03161403	-24.69959928	-28.64272357	-15.73678722	-16.33963787	-18.66945567	-22.00999856	-26.33802298	-10.32568412	-12.61601	-16.3156529	-20.58312181	-25.6007718	-10.27389387	-15.67731957	-20.94194456
	14450000	-25.05438509	-25.8060957	-28.07145356	-20.41936894	-20.03534621	-21.44416067	-24.08486159	-28.04523049	-15.11847008	-15.75074099	-18.08220655	-21.42660971	-25.73943208	-9.7052859	-12.00274365	-15.73030257	-19.99565539	-25.00797532	-9.679735585	-15.0578078	-20.34551492
	15300000	-24.52931791	-25.2663971	-27.52887736	-19.88384479	-19.49047497	-20.8735583	-23.56467226	-27.50107555	-14.59447529	-15.18108947	-17.55164849	-20.88598967	-25.219153	-9.182145912	-11.47379868	-15.16763385	-19.45582393	-24.46567869	-9.106836228	-14.53399526	-19.80518309
	16150000	-24.02977226	-24.76122155	-27.02042747	-19.37509743	-18.9907153	-20.39437927	-23.06424067	-27.00051091	-14.09166895	-14.69802427	-17.04200002	-20.38041026	-24.71678152	-8.671561793	-10.97178551	-14.67627179	-18.94815542	-23.96061102	-8.614549858	-14.0304329	-19.29855452
	17000000	-23.54646221	-24.2827245	-26.5391186	-18.89198244	-18.50790117	-19.91307695	-22.58189403	-26.51884535	-13.60861212	-14.21749309	-16.55724743	-19.89753897	-24.235887	-8.189993163	-10.49034744	-14.19491417	-18.46490124	-23.48181435	-8.135016528	-13.54839355	-18.81796977
