BPM Serial No.	16elec																					
BPM Size	110																					
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																					
Meas. Start Time	2016/10/1420:02																					
Meas. Finish Time	2016/10/1420:16																					
Linear Scale Origin X(mm)	-102.6																					
Linear Scale Origin Y(mm)	110.258																					
note																						
																						
																						
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Linear Scale X (mm)		-122.601	-102.602	-82.601	-142.604	-122.604	-102.602	-82.601	-62.599	-142.604	-122.604	-102.602	-82.601	-62.6	-142.604	-122.604	-102.602	-82.601	-62.6	-122.601	-102.602	-82.601
Linear Scale Y (mm)		70.259	70.259	70.259	90.255	90.255	90.255	90.255	90.255	110.255	110.255	110.255	110.255	110.255	130.254	130.254	130.254	130.254	130.254	150.254	150.254	150.254
R(beam)[mm]		20.001	0.002	-19.999	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40	40.004	20.004	0.002	-19.999	-40	20.001	0.002	-19.999
Y(beam)[mm]		-39.999	-39.999	-39.999	-20.003	-20.003	-20.003	-20.003	-20.003	-0.003	-0.003	-0.003	-0.003	-0.003	19.996	19.996	19.996	19.996	19.996	39.996	39.996	39.996
Net Ana Temperature[℃]		23.24929369	23.32352376	23.28740847	23.34567125	23.36868346	23.4162737	23.39057907	23.3938899	23.4637263	23.51264347	23.58774344	23.56100753	23.5907972	23.70099974	23.73978967	23.77432355	23.79862893	23.84493378	23.92540119	23.96070371	23.97542716
BPM Temperature[℃]		20.96042586	21.012698	21.04017138	21.1424565	21.16660608	21.18403012	21.21332122	21.23007011	21.29968839	21.312698	21.33702934	21.36221761	21.39018437	21.48156323	21.51970917	21.54487146	21.56808621	21.61017917	21.67821345	21.6930927	21.65915347
Frequency (Hz) / Data (dB)	850000	-49.4742843	-50.17211397	-52.51200603	-44.7299355	-44.34887658	-45.6933656	-48.46807151	-52.47482503	-39.43427892	-40.0340762	-42.36889371	-45.67295552	-50.13552214	-34.04088241	-36.27257678	-40.0032106	-44.29392991	-49.37870193	-33.98892265	-39.3658278	-44.65872255
	1700000	-43.55877362	-44.28142953	-46.55696782	-38.89929669	-38.49715548	-39.85996431	-42.57357533	-46.54620412	-33.62549715	-34.21088137	-36.53181382	-39.84544437	-44.24080728	-28.24142152	-30.47785905	-34.18256543	-38.45105062	-43.49309893	-28.18868239	-33.56048716	-38.82744296
	2550000	-40.18591277	-40.91616477	-43.17875615	-35.53766738	-35.12519037	-36.49247757	-39.19676258	-43.15272645	-30.2594329	-30.83960575	-33.15780386	-36.4778933	-40.86143495	-24.87395971	-27.11488095	-30.81059753	-35.08058864	-40.12507202	-24.8190204	-30.19436152	-35.45366728
	3400000	-37.80765001	-38.5196872	-40.79275703	-33.15384982	-32.73778497	-34.10737341	-36.81170509	-40.77434946	-27.8734438	-28.45009755	-30.77085219	-34.09403674	-38.48221073	-22.48927795	-24.72975226	-28.423336	-32.69590839	-37.73898039	-22.43569492	-27.81242956	-33.07977353
	4250000	-35.95000552	-36.66631321	-38.94305667	-31.30639886	-30.88344123	-32.25940513	-34.94877048	-38.92429892	-26.02184933	-26.59615997	-28.91452465	-32.24390548	-36.62493282	-20.63460002	-22.87685983	-26.56723772	-30.83993734	-35.88834978	-20.58232158	-25.95862821	-31.22721419
	5100000	-34.43756719	-35.1537582	-37.42828202	-29.79113336	-29.3671298	-30.73823529	-33.43669043	-37.41117252	-24.50476077	-25.07427505	-27.3935304	-30.72471841	-35.1132502	-19.11788322	-21.3583942	-25.04784399	-29.32243751	-34.37841425	-19.06563386	-24.44415899	-29.71440925
	5950000	-33.15760444	-33.86815607	-36.14397102	-28.50565514	-28.07675933	-29.45286287	-32.14748996	-36.12605714	-23.2169662	-23.78318965	-26.10105176	-29.43724048	-33.82895994	-17.82932549	-20.06805451	-23.7577217	-28.03470876	-33.09212176	-17.77713892	-23.15536549	-28.42779459
	6800000	-32.04056199	-32.75519905	-35.02941444	-27.38953154	-26.95769322	-28.33339661	-31.02997984	-35.01284617	-22.10002948	-22.66321908	-24.9822422	-28.32194105	-32.71352071	-16.69775932	-18.95028519	-22.63958344	-26.91822953	-31.97927672	-16.66065485	-22.03969744	-27.31117042
	7650000	-31.03618466	-31.76319327	-34.04915598	-26.39789732	-25.96143565	-27.34644727	-30.03942351	-34.01310923	-21.10418282	-21.65648107	-23.98469277	-27.32003803	-31.72393158	-15.71793902	-17.9407736	-21.63495097	-25.93077644	-30.99106762	-15.67132448	-21.03426635	-26.32736638
	8500000	-30.12970311	-30.85273322	-33.13174703	-25.48888999	-25.0548023	-26.43985274	-29.13324017	-33.10455242	-20.19353567	-20.75858027	-23.08095196	-26.41992019	-30.81143411	-14.80259544	-17.0437114	-20.73410078	-25.01733366	-30.07549172	-14.75478873	-20.13129187	-25.41092926
	9350000	-29.28049468	-29.99771543	-32.27053373	-24.63079688	-24.20349956	-25.59172563	-28.27821277	-32.25174743	-19.33977395	-19.90926898	-22.23147243	-25.57148909	-29.95704796	-13.94576022	-16.19350212	-19.8857642	-24.16514084	-29.22154526	-13.89771556	-19.2808417	-24.55515149
	10200000	-28.47293208	-29.19274548	-31.46597199	-23.82209951	-23.40162322	-24.79360893	-27.4773186	-31.4449635	-18.53388375	-19.10914354	-21.4332891	-24.77296382	-29.15444448	-13.1365973	-15.39247559	-19.0855786	-23.36257163	-28.41309972	-13.08773531	-18.47501652	-23.74671073
	11050000	-27.70946384	-28.43174702	-30.70059287	-23.05746674	-22.6434811	-24.03827333	-26.72090212	-30.6804028	-17.7717969	-18.35373471	-20.67916314	-24.01902972	-28.39252418	-12.37098058	-14.63453548	-18.33005077	-22.60659162	-27.65181576	-12.32129083	-17.71273629	-22.98371962
	11900000	-26.98566584	-27.71333127	-29.98143306	-22.33717799	-21.9297671	-23.32599344	-26.006744	-29.95853454	-17.05190421	-17.63986387	-19.96648681	-23.30754105	-27.67092186	-11.64699651	-13.9185456	-17.6158615	-21.8896559	-26.92574889	-11.59679323	-16.99233724	-22.26142995
	12750000	-26.30572934	-27.03379346	-29.29933597	-21.65320634	-21.25489533	-22.6550101	-25.3285947	-29.28147722	-16.37219017	-16.96889891	-19.29724452	-22.63714883	-26.99711449	-10.96567667	-13.24539629	-16.9452613	-21.2170768	-26.2491503	-10.91520343	-16.31513767	-21.57981385
	13600000	-25.67061223	-26.39974766	-28.6603651	-21.01629243	-20.62442594	-22.00461695	-24.70037141	-28.64116962	-15.73670995	-16.33790896	-18.67202689	-22.0080064	-26.36018562	-10.32384164	-12.61151324	-16.31434025	-20.58377685	-25.60872023	-10.27371406	-15.67727179	-20.94227416
	14450000	-25.07461547	-25.78363679	-28.06253204	-20.39735877	-20.03398766	-21.43257076	-24.11129668	-28.04721949	-15.14002459	-15.74988784	-18.08146366	-21.4210074	-25.74090446	-9.730236026	-12.02081076	-15.72483617	-19.98830011	-25.01492657	-9.680880562	-15.06151623	-20.34434734
	15300000	-24.53410658	-25.26552638	-27.52750263	-19.87844032	-19.49989126	-20.89805069	-23.57230721	-27.50527921	-14.60023297	-15.17974199	-17.54411738	-20.87585521	-25.21831995	-9.186446109	-11.46672843	-15.18971111	-19.45679305	-24.47179483	-9.135229054	-14.53800166	-19.80147574
	16150000	-24.02444442	-24.75920227	-27.02190247	-19.37165853	-18.99074935	-20.3938561	-23.06326908	-26.99959601	-14.09517397	-14.69703026	-17.03681782	-20.37590318	-24.71710561	-8.67438757	-10.96979215	-14.68085572	-18.94907909	-23.96612031	-8.623584399	-14.03439851	-19.29551089
	17000000	-23.54389586	-24.27898253	-26.53855317	-18.88925669	-18.50866676	-19.91170418	-22.58211121	-26.51594358	-13.61198597	-14.21688553	-16.5540594	-19.89468982	-24.23600299	-8.191664086	-10.48826757	-14.19718573	-18.46517217	-23.48301743	-8.14023652	-13.55072366	-18.81324698
