BPM Serial No.	16elec																					
BPM Size	110																					
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																					
Meas. Start Time	2016/10/1418:56																					
Meas. Finish Time	2016/10/1419:10																					
Linear Scale Origin X(mm)	-102.6																					
Linear Scale Origin Y(mm)	110.258																					
note																						
																						
																						
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Linear Scale X (mm)		-122.601	-102.602	-82.601	-142.604	-122.604	-102.602	-82.601	-62.6	-142.604	-122.604	-102.602	-82.601	-62.6	-142.604	-122.604	-102.602	-82.601	-62.6	-122.601	-102.602	-82.601
Linear Scale Y (mm)		70.259	70.259	70.259	90.255	90.255	90.255	90.255	90.255	110.255	110.255	110.255	110.255	110.255	130.254	130.254	130.254	130.254	130.254	150.254	150.254	150.254
R(beam)[mm]		20.001	0.002	-19.999	40.004	20.004	0.002	-19.999	-40	40.004	20.004	0.002	-19.999	-40	40.004	20.004	0.002	-19.999	-40	20.001	0.002	-19.999
Y(beam)[mm]		-39.999	-39.999	-39.999	-20.003	-20.003	-20.003	-20.003	-20.003	-0.003	-0.003	-0.003	-0.003	-0.003	19.996	19.996	19.996	19.996	19.996	39.996	39.996	39.996
Net Ana Temperature[℃]		23.45524279	23.47915087	23.49641392	23.59683459	23.62823422	23.66784731	23.70720332	23.74889379	23.85998961	23.87698001	23.94645287	23.977141	23.99469488	23.94740068	23.903651	23.85538561	23.82581667	23.77096079	23.66016359	23.61455726	23.55840301
BPM Temperature[℃]		21.29148273	21.31508699	21.34541677	21.44502727	21.46014022	21.49350818	21.53214749	21.57052714	21.650792	21.66951441	21.6888081	21.70085692	21.69639055	21.55302519	21.48522462	21.42734355	21.36842379	21.3267463	21.18169307	21.12635679	21.08615944
Frequency (Hz) / Data (dB)	850000	-38.75678811	-43.19175491	-47.79545063	-32.2092754	-37.21727092	-41.66610028	-46.09310654	-51.15033552	-35.31063923	-38.63989366	-42.32046259	-46.35207809	-51.05550112	-40.48979471	-41.98186993	-44.67716796	-48.1892794	-52.6708151	-46.81411515	-48.53979188	-51.60754261
	1700000	-32.94640747	-37.35335107	-41.92650558	-26.39732775	-31.39111046	-35.82414044	-40.2367465	-45.23253959	-29.52589216	-32.81752207	-36.48667794	-40.46778716	-45.09741497	-34.67770516	-36.15760717	-38.82383817	-42.29235526	-46.68440915	-40.94663586	-42.66789877	-45.69843908
	2550000	-29.57846996	-33.99128495	-38.56640646	-23.02615435	-28.02366872	-32.45116677	-36.85960732	-41.84811919	-26.16455802	-29.44682197	-33.1099173	-37.08616074	-41.74261671	-31.31382978	-32.78798908	-35.45382525	-38.90520779	-43.32072795	-37.57957396	-39.3088906	-42.3090927
	3400000	-27.19483443	-31.60493917	-36.17854232	-20.63740169	-25.63178857	-30.06179346	-34.46709848	-39.46566968	-23.78391525	-27.06263089	-30.72512776	-34.69696431	-39.34500131	-28.93014925	-30.40416172	-33.06593585	-36.51544907	-40.9287732	-35.19593802	-36.92220965	-39.92352477
