BPM Serial No.	16elec																					
BPM Size	110																					
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																					
Meas. Start Time	2016/10/1418:56																					
Meas. Finish Time	2016/10/1419:10																					
Linear Scale Origin X(mm)	-102.6																					
Linear Scale Origin Y(mm)	110.258																					
note																						
																						
																						
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Linear Scale X (mm)		-122.601	-102.602	-82.601	-142.604	-122.604	-102.602	-82.601	-62.6	-142.604	-122.604	-102.602	-82.601	-62.6	-142.604	-122.604	-102.602	-82.601	-62.6	-122.601	-102.602	-82.601
Linear Scale Y (mm)		70.259	70.259	70.259	90.255	90.255	90.255	90.255	90.255	110.255	110.255	110.255	110.255	110.255	130.254	130.254	130.254	130.254	130.254	150.254	150.254	150.254
R(beam)[mm]		20.001	0.002	-19.999	40.004	20.004	0.002	-19.999	-40	40.004	20.004	0.002	-19.999	-40	40.004	20.004	0.002	-19.999	-40	20.001	0.002	-19.999
Y(beam)[mm]		-39.999	-39.999	-39.999	-20.003	-20.003	-20.003	-20.003	-20.003	-0.003	-0.003	-0.003	-0.003	-0.003	19.996	19.996	19.996	19.996	19.996	39.996	39.996	39.996
Net Ana Temperature[℃]		23.45524279	23.47915087	23.49641392	23.59683459	23.62823422	23.66784731	23.70720332	23.74889379	23.85998961	23.87698001	23.94645287	23.977141	23.99469488	23.94740068	23.903651	23.85538561	23.82581667	23.77096079	23.66016359	23.61455726	23.55840301
BPM Temperature[℃]		21.29148273	21.31508699	21.34541677	21.44502727	21.46014022	21.49350818	21.53214749	21.57052714	21.650792	21.66951441	21.6888081	21.70085692	21.69639055	21.55302519	21.48522462	21.42734355	21.36842379	21.3267463	21.18169307	21.12635679	21.08615944
Frequency (Hz) / Data (dB)	850000	-51.43991574	-51.3220027	-52.87297682	-48.12231945	-46.36158346	-46.59350701	-48.40667206	-51.81444196	-43.4239487	-41.90791784	-42.56941784	-44.91127769	-48.76634716	-39.03749943	-37.46081198	-38.86223975	-42.20774739	-46.97640335	-32.48218483	-35.56448272	-40.65157132
	1700000	-45.52320813	-45.37553706	-46.93880887	-42.24419386	-40.50326816	-40.72250755	-42.52516686	-45.91796997	-37.62507101	-36.08535719	-36.73189256	-39.05665054	-42.88062135	-33.23493426	-31.65686098	-33.05217113	-36.37345304	-41.11776306	-26.67142524	-29.76250409	-34.84673505
	2550000	-42.14395166	-41.9993097	-43.56741163	-38.8786792	-37.13792814	-37.3536997	-39.14790754	-42.53850417	-34.26553105	-32.71413409	-33.35986961	-35.68430694	-39.52339976	-29.87279371	-28.28964046	-29.68394789	-32.99938615	-37.75374372	-23.30234481	-26.39848114	-31.48131854
	3400000	-39.76703057	-39.61979641	-41.18334142	-36.4965999	-34.74581459	-34.9646734	-36.75566643	-40.15686223	-31.89075183	-30.33416854	-30.97908437	-33.29589657	-37.13642598	-27.49211415	-25.90610912	-27.30037489	-30.61541008	-35.37290158	-20.91584135	-24.01465502	-29.10175242
