BPM Serial No.	16elec																					
BPM Size	110																					
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																					
Meas. Start Time	2016/10/1418:56																					
Meas. Finish Time	2016/10/1419:10																					
Linear Scale Origin X(mm)	-102.6																					
Linear Scale Origin Y(mm)	110.258																					
note																						
																						
																						
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Linear Scale X (mm)		-122.601	-102.602	-82.601	-142.604	-122.604	-102.602	-82.601	-62.6	-142.604	-122.604	-102.602	-82.601	-62.6	-142.604	-122.604	-102.602	-82.601	-62.6	-122.601	-102.602	-82.601
Linear Scale Y (mm)		70.259	70.259	70.259	90.255	90.255	90.255	90.255	90.255	110.255	110.255	110.255	110.255	110.255	130.254	130.254	130.254	130.254	130.254	150.254	150.254	150.254
R(beam)[mm]		20.001	0.002	-19.999	40.004	20.004	0.002	-19.999	-40	40.004	20.004	0.002	-19.999	-40	40.004	20.004	0.002	-19.999	-40	20.001	0.002	-19.999
Y(beam)[mm]		-39.999	-39.999	-39.999	-20.003	-20.003	-20.003	-20.003	-20.003	-0.003	-0.003	-0.003	-0.003	-0.003	19.996	19.996	19.996	19.996	19.996	39.996	39.996	39.996
Net Ana Temperature[℃]		23.44762399	23.46228252	23.49209816	23.5826227	23.61988315	23.66282005	23.70978447	23.73110361	23.84891976	23.89909115	23.94124124	23.96185147	23.99447676	23.96573617	23.9205557	23.86105947	23.81995066	23.77514152	23.67081537	23.61036354	23.58650221
BPM Temperature[℃]		21.28615944	21.30901065	21.33479616	21.41121787	21.45362244	21.48860036	21.52430538	21.55377824	21.64240457	21.66455466	21.68374448	21.69610491	21.69275513	21.56839782	21.49987016	21.43217346	21.39182031	21.34178136	21.19862373	21.14352116	21.09387172
Frequency (Hz) / Data (dB)	850000	-51.66892215	-48.54902382	-46.73102269	-52.69923933	-48.22315582	-44.71319248	-42.00626632	-40.44354705	-51.1708807	-46.41503528	-42.37024038	-38.64621662	-35.40419595	-51.1759138	-46.14721977	-41.69259773	-37.2844095	-32.29820678	-47.89064307	-43.18744178	-38.79581258
	1700000	-45.71152239	-42.66040559	-40.86286763	-46.72240096	-42.30634063	-38.84675895	-36.16351444	-34.63671468	-45.18019657	-40.51221898	-36.51929398	-32.82337855	-29.58245471	-45.26450595	-40.26953934	-35.85415683	-31.44570925	-26.47136326	-41.99668172	-37.36657496	-32.96394526
	2550000	-42.3421299	-39.28749968	-37.50818238	-43.35613955	-38.92634227	-35.47560344	-32.78833634	-31.26856846	-41.80441516	-37.12620095	-33.13911013	-29.45801835	-26.20920467	-41.88901363	-36.88879415	-32.47904051	-28.06904138	-23.09593467	-38.62047286	-33.99984877	-29.59947213
	3400000	-39.949791	-36.91286043	-35.13458973	-40.96985188	-36.54276363	-33.0897425	-30.40755853	-28.89400256	-39.4144211	-34.74704885	-30.75950634	-27.07708386	-23.82949744	-39.50711056	-34.50738991	-30.09912335	-25.68344091	-20.71215963	-36.23337703	-31.62488736	-27.22107333
