BPM Serial No.	16elec																																																																																																																																																																																																																																																																																																																																																																																				
BPM Size	110																																																																																																																																																																																																																																																																																																																																																																																				
"Experi,menter"	Tajima      Hanamura      Kawachi      																																																																																																																																																																																																																																																																																																																																																																																				
Meas. Start Time	2019/08/2619:10																																																																																																																																																																																																																																																																																																																																																																																				
Meas. Finish Time	2019/08/2623:14																																																																																																																																																																																																																																																																																																																																																																																				
Linear Scale Origin X(mm)	-99.673																																																																																																																																																																																																																																																																																																																																																																																				
Linear Scale Origin Y(mm)	88.51																																																																																																																																																																																																																																																																																																																																																																																				
note																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																																																																																					
Data Point Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373
R(beam)[mm]	20.001	15.004	10.004	5.003	0.002	-4.998	-9.998	-14.999	-19.999	30.002	25.005	20.004	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.999	-19.999	-25	-30	35.003	30.005	25.005	20.004	15.004	10.004	5.003	0.002	-4.998	-9.998	-14.998	-19.999	-25	-30	-35.001	40.004	35.006	30.005	25.005	20.004	15.004	10.004	5.003	0.002	-4.998	-9.998	-14.999	-19.999	-25	-30	-35.001	-40.001	45.005	40.006	35.006	30.005	25.005	20.004	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-25	-30	-35.001	-40.001	-45.002	45.004	40.007	35.006	30.005	25.005	20.005	15.004	10.004	5.003	0.002	-4.998	-9.998	-14.999	-19.999	-25	-30	-35.001	-40.001	-45.002	50.005	45.007	40.007	35.006	30.006	25.005	20.005	15.004	10.004	5.003	0.002	-4.998	-9.998	-14.999	-19.999	-25	-30	-35.001	-40.001	-45.002	-50.003	50.005	45.007	40.007	35.006	30.005	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-25	-30	-35.001	-40.001	-45.002	-50.002	50.005	45.007	40.007	35.006	30.006	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.999	-19.999	-25	-30	-35.001	-40.001	-45.002	-50.003	50.005	45.007	40.007	35.006	30.005	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-25	-30	-35.001	-40.001	-45.002	-50.002	50.005	45.007	40.007	35.006	30.006	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.999	-19.999	-24.999	-30	-35.001	-40.001	-45.002	-50.002	50.005	45.007	40.007	35.006	30.005	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-25	-30	-35.001	-40.001	-45.002	-50.002	50.005	45.007	40.007	35.006	30.005	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-25	-30	-35.001	-40.001	-45.002	-50.002	50.005	45.007	40.007	35.006	30.005	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-24.999	-30	-35.001	-40.001	-45.002	-50.002	50.005	45.007	40.007	35.006	30.006	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-24.999	-30	-35.001	-40.001	-45.002	-50.002	45.004	40.007	35.006	30.006	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-24.999	-30	-35.001	-40.001	-45.002	45.005	40.007	35.006	30.006	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-24.999	-30	-35.001	-40.001	-45.002	40.004	35.006	30.006	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-24.999	-30	-35	-40.001	35.003	30.006	25.005	20.005	15.004	10.004	5.004	0.003	-4.998	-9.998	-14.998	-19.999	-24.999	-30	-35	30.003	25.005	20.005	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999	-25	-30	20.002	15.004	10.004	5.003	0.003	-4.998	-9.998	-14.998	-19.999
Y(beam)[mm]	-49.997	-49.997	-49.997	-49.997	-49.997	-49.997	-49.997	-49.997	-49.997	-44.999	-44.999	-44.999	-44.999	-44.999	-44.999	-44.999	-44.999	-44.999	-44.999	-44.999	-44.999	-44.999	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-25.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-10.001	-5.002	-5.002	-5.002	-5.001	-5.001	-5.001	-5.001	-5.002	-5.002	-5.002	-5.002	-5.002	-5.002	-5.002	-5.002	-5.001	-5.002	-5.001	-5.001	-5.001	-5.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	4.998	9.998	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	9.999	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	14.998	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	19.999	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	24.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	34.998	39.998	39.998	39.998	39.998	39.998	39.998	39.998	39.998	39.998	39.998	39.998	39.998	39.998	39.998	39.998	44.998	44.998	44.998	44.998	44.998	44.998	44.998	44.998	44.998	44.998	44.998	44.998	44.998	49.999	49.999	49.999	49.999	49.999	49.999	49.999	49.999	49.999
S32-5.1MHz(dB)	-42.19422683	-43.15833379	-44.16047105	-45.20872577	-46.21660776	-47.33531816	-48.46551916	-49.6106696	-50.84830308	-38.8088588	-39.87500642	-40.92165982	-41.99021277	-43.05437052	-44.11958627	-45.18949363	-46.31738491	-47.40703387	-48.59130357	-49.78778562	-51.02233806	-52.37949887	-36.38534178	-37.58671426	-38.79483566	-39.93358766	-41.04916234	-42.15385666	-44.65917272	-45.65769682	-45.4670634	-47.76688156	-47.76615592	-49.88603813	-50.16608175	-51.47695776	-52.89888412	-34.0954809	-35.45153567	-36.75546708	-38.00716804	-39.22359239	-40.35352798	-41.48364158	-42.606415	-45.09021684	-44.88917201	-45.9473422	-47.10947952	-48.27881632	-49.52884919	-50.78650571	-52.16106178	-53.63637217	-31.89337479	-33.4120475	-34.87728105	-36.23657837	-37.51565691	-38.69174023	-39.87425677	-41.01817857	-42.15109932	-43.2930929	-44.35634066	-45.50789334	-46.66147925	-47.7762351	-49.00115266	-50.28153652	-51.58882446	-53.01782904	-54.57966757	-31.7375029	-33.27937076	-34.69587852	-35.9988468	-37.2471724	-38.43361218	-39.59319588	-40.79902365	-41.87014325	-42.94061321	-44.05320974	-45.18245148	-46.30600452	-47.42835657	-48.63232771	-49.86960009	-51.17418368	-52.52729802	-54.07646707	-32.1969523	-33.67417012	-35.10034908	-36.42433872	-35.98110183	-38.86609238	-39.9776727	-39.49037689	-40.66776212	-43.20478766	-42.80721195	-43.87794218	-44.959295	-46.09959795	-47.23854454	-48.3660287	-49.58595547	-50.86150676	-52.21067382	-53.70525196	-55.27814773	-33.0999808	-34.36237054	-33.87787019	-35.05358867	-36.26423828	-37.41721485	-38.51201819	-39.64632885	-40.67433438	-41.76521706	-42.82266857	-43.86269871	-44.9193863	-46.00607659	-47.08668524	-48.2424144	-49.43560446	-50.6987024	-52.01730716	-53.45693295	-55.01145074	-34.29851292	-35.29650398	-34.59672439	-37.35987251	-36.68186007	-37.74485307	-38.78093587	-39.8599565	-40.82940911	-41.91178866	-42.88005255	-43.91448612	-44.95570437	-46.03921467	-47.19453051	-48.24692177	-49.39551432	-50.62515001	-51.95786408	-53.36966161	-54.89324741	-33.88895878	-34.63876987	-35.49225211	-36.36355207	-37.29949304	-38.26109801	-39.22456665	-40.17967104	-41.14231931	-42.12412238	-43.11286967	-44.09857735	-45.14337745	-46.17441896	-47.22702129	-48.3119545	-49.45889908	-50.67221224	-51.99094011	-53.36414588	-54.86463686	-35.39535933	-35.87415034	-36.53314188	-37.28721826	-38.11700845	-38.98756465	-39.80264596	-42.25089155	-41.62511803	-42.55907833	-43.44586553	-44.40752917	-45.39787797	-46.40644428	-47.42874615	-48.50550892	-49.64195669	-50.81946907	-52.11416204	-53.445476	-54.96934195	-36.93711234	-37.21813697	-37.70662699	-38.30107641	-38.98004894	-39.71229446	-40.50041213	-41.28107867	-43.75109887	-44.56587312	-43.88428252	-46.24481134	-45.75527346	-46.73835264	-47.74324825	-48.79093811	-49.89699452	-51.08253676	-52.33475102	-53.69361632	-55.19247558	-38.49910318	-38.61007576	-38.99360959	-39.3729011	-39.95188524	-40.60175895	-41.29851398	-42.03654658	-42.80385277	-43.60034444	-44.42686665	-45.31010832	-46.21658684	-47.19569172	-48.14517462	-49.18321404	-50.30407302	-51.43092155	-52.67376723	-54.03839986	-55.53775392	-40.12713856	-40.1033556	-40.2458002	-40.59194718	-41.03830422	-41.52955971	-42.13947456	-42.8033692	-43.5119247	-44.26018494	-45.05899906	-45.89661593	-46.78801324	-47.67661135	-48.64900552	-49.65449267	-50.73866834	-51.86648654	-53.13783314	-54.48698696	-55.97172645	-41.78383601	-41.63710661	-41.62382426	-41.85204879	-42.17330877	-42.58721159	-43.11622316	-43.70898032	-44.40961561	-45.04773855	-45.78981197	-46.59730732	-47.41219582	-48.3074673	-49.24549579	-50.22815659	-51.29379919	-52.41229749	-53.68819066	-55.03873311	-56.54847338	-43.23407422	-43.07627633	-43.15944601	-43.38124629	-43.72663059	-44.20182511	-44.68978576	-45.25617098	-45.90964479	-46.60540986	-47.35158986	-48.16350782	-49.01224225	-49.92972431	-50.89405704	-51.96500628	-53.10011421	-54.34323498	-55.71540481	-44.82344075	-44.61281423	-44.58373118	-44.70808233	-44.96034988	-45.30935757	-45.75483873	-46.27994713	-46.85867234	-47.51141696	-48.22550765	-49.00871892	-49.82768327	-50.71374701	-51.68404425	-52.73808921	-53.88362251	-55.14893893	-56.57220674	-46.23128467	-46.08779703	-46.10562743	-46.26814255	-46.54969376	-46.92421422	-47.36831995	-47.9260549	-48.52146372	-49.19740463	-49.94148552	-50.73933848	-51.60849027	-52.58353973	-53.62833762	-54.78974313	-56.08857068	-47.7169312	-47.62673574	-47.69343242	-47.89237822	-48.19094764	-48.59368378	-49.08265643	-49.64765314	-50.27621088	-50.98717167	-51.77339724	-52.64276352	-53.61168093	-54.66842347	-55.85973734	-49.27152904	-49.24234871	-49.38956025	-49.59378554	-49.93562332	-50.37305637	-50.8966595	-51.494623	-52.179422	-52.97375835	-53.83680603	-54.80469752	-55.89445896	-51.01125389	-51.15007797	-51.43407378	-51.81111032	-52.30045445	-52.86793181	-53.54765917	-54.30592647	-55.20097698
S42-5.1MHz(dB)	-55.3225709	-54.41610186	-53.63939706	-52.97274181	-52.3882284	-51.92051198	-51.55462765	-51.27547114	-51.11450012	-56.00988667	-54.93853035	-53.94775023	-53.08942714	-52.29907084	-51.61165869	-50.99391421	-50.51175669	-50.03877531	-49.7206428	-49.49619196	-49.3319398	-49.36303059	-55.98144138	-54.76101565	-53.71940568	-52.75872952	-51.90266034	-51.11228016	-51.0637637	-50.48148006	-49.1974952	-49.57685266	-48.32985981	-48.93383187	-47.78831977	-47.71716311	-47.82062482	-56.22820976	-54.92015255	-53.74605132	-52.71067287	-51.75660079	-50.85389994	-50.04192971	-49.30279171	-49.50775632	-48.06442914	-47.47818006	-47.04149034	-46.65821677	-46.40064751	-46.22563617	-46.18445708	-46.32729412	-56.65600174	-55.27647601	-54.01365876	-52.86674726	-51.81510054	-50.82331313	-49.93671956	-49.10985421	-48.35223903	-47.66915872	-46.96367494	-46.40024388	-45.89480446	-45.41025463	-45.07516776	-44.8503476	-44.6849489	-44.73619618	-44.95478579	-55.85601278	-54.47629125	-53.23663848	-52.08452734	-51.04280562	-50.04564123	-49.11982216	-48.31893424	-47.48832233	-46.70424596	-46.01769569	-45.40097183	-44.8135594	-44.27494038	-43.86451927	-43.51723622	-43.29951858	-43.20356635	-43.31010117	-56.22992059	-55.06909237	-53.97488361	-52.94569274	-51.39890091	-51.0514543	-50.16093069	-48.39631062	-47.57564811	-47.79367181	-45.90031217	-45.14699282	-44.44549408	-43.82690287	-43.25397694	-42.70367133	-42.2505739	-41.92991475	-41.73812183	-41.75215299	-41.88575152	-55.79829517	-54.62922564	-53.2436164	-51.99237521	-50.85965787	-49.79710894	-48.76760383	-47.84618349	-46.8950126	-46.05101924	-45.20682646	-44.39812332	-43.63991089	-42.92208675	-42.23781292	-41.63396249	-41.09774127	-40.70792497	-40.34485617	-40.20478414	-40.2622038	-55.47501404	-54.27918778	-52.82827824	-52.12122426	-50.35814176	-49.30479428	-48.26413808	-47.30725042	-46.31750501	-45.46005163	-44.53148663	-43.68414011	-42.8699315	-42.12686284	-41.46728287	-40.69354566	-40.02790443	-39.47816862	-39.07812387	-38.7694961	-38.62226204	-55.29117692	-53.78924579	-52.45070308	-51.18363072	-50.01453363	-48.89552735	-47.84490471	-46.8347576	-45.85766138	-44.91366259	-43.99782613	-43.09336426	-42.26341831	-41.41220024	-40.57364092	-39.78213208	-39.06177524	-38.38138267	-37.83379524	-37.36246586	-36.99245676	-55.05531474	-53.56384283	-52.21364455	-50.94851662	-49.77012432	-48.6639169	-47.53901001	-47.63543502	-45.5144415	-44.54851035	-43.54721926	-42.60322443	-41.69880706	-40.77294246	-39.87960909	-39.00117544	-38.18111663	-37.36364719	-36.67546254	-35.96220528	-35.45119482	-54.97050891	-53.45084573	-52.07316147	-50.79583042	-49.57274943	-48.43647787	-47.33381702	-46.24306377	-46.56978532	-45.62334725	-43.19847118	-43.7396802	-41.2510265	-40.29260852	-39.32053258	-38.34398545	-37.39568097	-36.47001473	-35.56345173	-34.74499981	-34.00106931	-54.95407849	-53.43420194	-52.05779299	-50.7127938	-49.49711778	-48.35967693	-47.2264029	-46.14596073	-45.07606792	-44.02582652	-42.97815476	-41.94613026	-40.92760183	-39.93763573	-38.86884137	-37.82347231	-36.81514108	-35.71932481	-34.66058637	-33.61835036	-32.62969649	-55.09777078	-53.54840898	-52.10507138	-50.78676122	-49.55818909	-48.33288278	-47.19136445	-46.08091904	-44.9884228	-43.93004135	-42.86278546	-41.81433608	-40.76220035	-39.66709837	-38.57891548	-37.46033795	-36.33327084	-35.1543452	-33.94768316	-32.70549243	-31.4570985	-55.38480209	-53.77861717	-52.30514602	-50.95560055	-49.68107147	-48.44612332	-47.29033243	-46.17374262	-45.11551633	-43.95839489	-42.8796887	-41.81275766	-40.7014497	-39.60668922	-38.45533237	-37.28788519	-36.07766012	-34.80276311	-33.4790544	-32.05444284	-30.56380088	-54.15848225	-52.61891209	-51.23038488	-49.95024384	-48.69413621	-47.5463902	-46.37500247	-45.25080121	-44.13794098	-43.02886753	-41.93238687	-40.81067257	-39.68036623	-38.52430211	-37.32135841	-36.06175515	-34.73245107	-33.31696393	-31.76994167	-54.66821283	-53.09420085	-51.66483125	-50.33874338	-49.07272099	-47.86120013	-46.70304281	-45.56880718	-44.45659796	-43.33674778	-42.22780997	-41.11805884	-39.96438275	-38.79363673	-37.5723306	-36.30690612	-34.96396077	-33.52272605	-31.93886986	-53.73719292	-52.23717077	-50.88434951	-49.59284761	-48.3600288	-47.17682885	-46.03361134	-44.90950241	-43.7982668	-42.69047153	-41.57512683	-40.43537528	-39.27370953	-38.0804993	-36.83727386	-35.53046353	-34.13181998	-52.99229756	-51.59002046	-50.27673063	-49.01923402	-47.8242454	-46.67112458	-45.54244826	-44.43445546	-43.33336856	-42.23824243	-41.13044539	-40.00215051	-38.85989134	-37.67772969	-36.45483367	-52.48684404	-51.12462776	-49.86826435	-48.64755278	-47.47507547	-46.3746165	-45.26551143	-44.19258993	-43.11598242	-42.06595896	-40.99878522	-39.93420725	-38.85550494	-50.90970371	-49.67515063	-48.49555295	-47.38259593	-46.30720043	-45.27563712	-44.24349803	-43.24903767	-42.27079273
S12-5.1MHz(dB)	-55.30165378	-55.02736546	-54.90052281	-54.8944642	-54.9807559	-55.21563302	-55.57701203	-56.00962911	-56.60601626	-54.62081838	-54.09509916	-53.70356575	-53.491236	-53.38197927	-53.4072466	-53.5041738	-53.7493404	-54.06050936	-54.51195294	-55.06867665	-55.70561593	-56.56171707	-53.66906702	-53.04096888	-52.5753313	-52.24681048	-52.04356226	-51.95902706	-53.31931918	-53.40715841	-52.36879634	-53.98093968	-53.18104986	-54.85085737	-54.36534273	-55.1532245	-56.11311141	-53.01659683	-52.19014275	-51.61729526	-51.20583366	-50.89978939	-50.70402929	-50.64976508	-50.69254977	-52.24099303	-51.15654747	-51.44230947	-51.91341396	-52.46169952	-53.14313814	-53.91646912	-54.78544949	-55.8916593	-52.4939899	-51.53480694	-50.82601688	-50.29810559	-49.89567047	-49.60041259	-49.47026162	-49.42338052	-49.50534297	-49.70101139	-49.91563042	-50.3162687	-50.78661899	-51.3169734	-51.98848481	-52.79209818	-53.663431	-54.74056748	-55.93324446	-51.13133216	-50.28463913	-49.59607082	-49.04524888	-48.66638044	-48.395444	-48.25834887	-48.31463666	-48.37010404	-48.53229378	-48.82451733	-49.23814797	-49.7074771	-50.25258681	-50.974475	-51.71689727	-52.61690686	-53.63777737	-54.87165715	-52.24795552	-51.22811986	-50.45309101	-49.8722703	-47.81544085	-49.06630855	-48.79529196	-47.10024784	-47.18494952	-48.80167051	-47.46488928	-47.75504318	-48.16288461	-48.68722238	-49.28294893	-49.95985797	-50.72411903	-51.63118672	-52.68641057	-53.89765679	-55.19708139	-51.09202494	-50.13494722	-47.7910683	-47.12285433	-46.671624	-46.34889667	-46.12393221	-46.07933329	-46.05858206	-46.22814076	-46.46438244	-46.77020677	-47.18973496	-47.72568607	-48.3145328	-49.01926005	-49.83565785	-50.80212766	-51.79465395	-52.9930734	-54.37423546	-50.01419169	-49.03832356	-46.64592205	-47.64854106	-45.50294643	-45.18613665	-44.9903395	-44.97607465	-44.97097965	-45.18232602	-45.39506351	-45.75852222	-46.23357932	-46.80991184	-47.54083001	-48.19721525	-49.00580383	-49.94844665	-51.05074442	-52.23461082	-53.57969992	-47.33552071	-46.30259972	-45.50105159	-44.84361597	-44.37361761	-44.0781695	-43.90970833	-43.85292022	-43.92037577	-44.1191293	-44.42367476	-44.81339756	-45.34437534	-45.93464617	-46.58724764	-47.35507358	-48.24722046	-49.22868863	-50.34264873	-51.54549587	-52.87719668	-46.29319384	-45.20228997	-44.38975748	-43.75200051	-43.31737976	-43.03815253	-42.82223649	-44.5258441	-42.94018491	-43.18086894	-43.45816057	-43.90348257	-44.45198681	-45.07145381	-45.80447226	-46.60624228	-47.54244578	-48.52477302	-49.70111936	-50.89265858	-52.28273831	-45.23567998	-44.13349344	-43.29457061	-42.64375604	-42.17315492	-41.87951075	-41.74774707	-41.7243568	-43.76122703	-44.00000807	-42.51289498	-44.84359726	-43.6047056	-44.3007985	-45.05997984	-45.89950895	-46.85385582	-47.91590177	-49.08923185	-50.38377017	-51.83084293	-44.18073802	-43.04643669	-42.24935382	-41.5000515	-41.04501025	-40.78195576	-40.66855183	-40.70032778	-40.86598934	-41.16715014	-41.59327825	-42.13485042	-42.78068339	-43.5542705	-44.34816286	-45.26239671	-46.31883063	-47.37949292	-48.60262826	-49.93538169	-51.42047006	-43.1978953	-42.02606073	-41.06652006	-40.39161091	-39.91534558	-39.6029293	-39.51274445	-39.58201761	-39.81006484	-40.17950413	-40.67757946	-41.2967819	-42.02169067	-42.80607141	-43.69637125	-44.67349953	-45.76224301	-46.92330305	-48.19053189	-49.5877465	-51.160145	-42.21024138	-40.97636089	-39.93792929	-39.22300657	-38.72533231	-38.43429744	-38.37441592	-38.5112428	-38.849257	-39.21622562	-39.78599508	-40.49202963	-41.26221199	-42.16190472	-43.10761758	-44.1600067	-45.3124593	-46.54730546	-47.89755188	-49.3529626	-50.9997639	-39.92783641	-38.78625606	-37.99830141	-37.48801019	-37.22876145	-37.2330052	-37.38714879	-37.7294002	-38.25349364	-38.90939461	-39.68746096	-40.57031456	-41.53418911	-42.58894235	-43.73237411	-44.95709726	-46.2728414	-47.71021918	-49.24199422	-38.78329172	-37.61258186	-36.76928325	-36.2224844	-35.968189	-35.9823698	-36.22716935	-36.6800524	-37.30070448	-38.06504161	-38.94785862	-39.94904468	-41.00350391	-42.16343674	-43.38028485	-44.70487784	-46.11396762	-47.63658901	-49.28411661	-36.37644792	-35.44148887	-34.86778483	-34.63492814	-34.70940607	-35.05223951	-35.614599	-36.36489631	-37.2593497	-38.26918335	-39.37760808	-40.55563675	-41.8143158	-43.15254767	-44.57352469	-46.08359046	-47.71772896	-34.0617276	-33.4248404	-33.21401751	-33.37375267	-33.8404612	-34.55705148	-35.46285691	-36.51034031	-37.67023462	-38.91117081	-40.2322475	-41.61267934	-43.06295395	-44.59013527	-46.2167121	-31.83143437	-31.67267108	-31.98845262	-32.60282681	-33.51074774	-34.64171992	-35.85976837	-37.19584799	-38.59700854	-40.0658864	-41.57449568	-43.15814742	-44.81402182	-30.46180885	-31.34388565	-32.51900964	-33.87455513	-35.33820734	-36.89575677	-38.46343961	-40.10004173	-41.75841579
