BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Tajima      Toyama      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2019/08/2916:44																																																																																																	
Meas. Finish Time	2019/08/2917:33																																																																																																	
Linear Scale Origin X(mm)	-99.334																																																																																																	
Linear Scale Origin Y(mm)	88.445																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-119.336	-109.338	-99.337	-89.336	-79.335	-129.337	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-139.338	-129.339	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-139.338	-129.339	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-129.337	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-119.335	-109.338	-99.337	-89.336	-79.335
Linear Scale Y (mm)		38.447	38.447	38.447	38.447	38.447	48.444	48.444	48.444	48.444	48.444	48.444	48.444	58.443	58.443	58.443	58.443	58.443	58.443	58.443	58.443	58.443	68.442	68.442	68.443	68.443	68.442	68.442	68.442	68.442	68.442	68.442	68.442	78.442	78.442	78.442	78.442	78.442	78.442	78.442	78.442	78.442	78.442	78.442	88.442	88.442	88.442	88.442	88.442	88.442	88.442	88.442	88.442	88.442	88.442	98.441	98.441	98.442	98.441	98.441	98.441	98.441	98.441	98.441	98.441	98.442	108.441	108.441	108.441	108.441	108.441	108.441	108.441	108.441	108.441	108.441	108.441	118.44	118.44	118.44	118.44	118.44	118.44	118.44	118.44	118.44	128.441	128.441	128.441	128.441	128.441	128.441	128.441	138.441	138.441	138.441	138.441	138.441
R(beam)[mm]		20.002	10.004	0.003	-9.998	-19.999	30.003	20.004	10.004	0.003	-9.998	-19.999	-30	40.004	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	40.004	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	30.003	20.004	10.004	0.003	-9.998	-19.999	-30	20.001	10.004	0.003	-9.998	-19.999
Y(beam)[mm]		-49.998	-49.998	-49.998	-49.998	-49.998	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-20.003	-20.003	-20.002	-20.002	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.996	9.996	9.997	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.997	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	29.995	29.995	29.995	29.995	29.995	29.995	29.995	29.995	29.995	39.996	39.996	39.996	39.996	39.996	39.996	39.996	49.996	49.996	49.996	49.996	49.996
Net Ana Temperature[℃]		22.10037133	22.14172942	22.17481174	22.17128019	22.16004414	22.14676188	22.14226435	22.14865749	22.16360166	22.17417554	22.1509504	22.1370605	22.11124903	22.08583485	22.09128538	22.1345235	22.11413399	22.12010906	22.14331862	22.1557933	22.15482991	22.09403012	22.12311348	22.15893274	22.14293171	22.11398857	22.12368995	22.11467671	22.09727344	22.07907037	22.10089327	22.10570761	22.14415217	22.12632303	22.11268502	22.13594391	22.16354713	22.17512075	22.15963646	22.16469748	22.13371072	22.10242794	22.10647105	22.10236302	22.10969099	22.14568424	22.17613088	22.11552324	22.09277331	22.08679564	22.11454687	22.15932485	22.16513892	22.1630953	22.10094781	22.08622695	22.09328486	22.11122566	22.09029603	22.1077746	22.13204103	22.16983641	22.18065178	22.16794599	22.17889899	22.18379901	22.20328746	22.22778499	22.23337315	22.20969878	22.17646585	22.14596728	22.14670216	22.1648377	22.15189821	22.13296027	22.13381459	22.16570241	22.19054012	22.20648403	22.22099455	22.23275773	22.16562971	22.15702934	22.13453648	22.16286679	22.17161257	22.17894573	22.19780057	22.18792781	22.23123345	22.22844196	22.23755648	22.2457128	22.2518255	22.23447157	22.21211893
BPM Temperature[℃]		20.27000779	20.25544015	20.25468709	20.22838224	20.23425084	20.26678785	20.25689431	20.23947027	20.21885225	20.20838743	20.20283043	20.21308751	20.23985978	20.23149831	20.22407167	20.2280187	20.25167489	20.26515191	20.27224098	20.26567125	20.25061023	20.22544794	20.20656972	20.19701376	20.21337315	20.23401714	20.25775123	20.28995066	20.28112179	20.27899247	20.2575435	20.23443261	20.2603999	20.2562711	20.24027525	20.23479616	20.2704752	20.27424046	20.27907037	20.30589457	20.32526616	20.30218125	20.28636718	20.20207738	20.18403012	20.17211114	20.17901844	20.18486108	20.18727603	20.19132693	20.19259932	20.24289795	20.26730719	20.26486627	20.24918203	20.26567125	20.27787588	20.26774864	20.25466113	20.24842898	20.28000519	20.29514412	20.29968839	20.29169047	20.28010906	20.27592833	20.28683459	20.29657232	20.29605297	20.3042846	20.28296546	20.29815632	20.28608154	20.2915866	20.29433913	20.27810958	20.27748637	20.26102311	20.25601143	20.27263049	20.30602441	20.31168528	20.30246689	20.29252142	20.27361724	20.31939756	20.32056609	20.33684757	20.34757206	20.3239678	20.31887821	20.3240457	20.30610231	20.28171903	20.27346144	20.29184627	20.29189821
Frequency (Hz) / Data (dB)	850000	-57.6198174	-57.19332673	-57.38666058	-57.94256073	-59.00046907	-55.44898043	-54.51304001	-54.23017268	-54.46468799	-55.058965	-56.01106416	-57.50522517	-53.79424885	-52.52384948	-51.90598415	-51.71519635	-51.96723321	-52.64779691	-53.65189021	-55.00570779	-57.08852274	-53.0737523	-51.21453081	-50.06398817	-49.48510145	-49.35696805	-49.73753692	-50.47604657	-51.54172267	-53.07581066	-55.02969843	-57.65534192	-50.67155461	-48.87317715	-47.75297704	-47.2290141	-47.26846245	-47.68676012	-48.53079901	-49.7891468	-51.3366519	-53.37332133	-55.79189473	-48.48246593	-46.59782025	-45.53954581	-45.09969743	-45.19736447	-45.7391292	-46.72777826	-48.09545952	-49.82928435	-51.9535703	-54.5846487	-46.39745395	-44.35378484	-43.25428311	-42.8755152	-43.12876136	-43.88398898	-45.06471175	-46.65045845	-48.59040161	-50.94825713	-53.74905995	-44.4495446	-42.11916526	-40.90120988	-40.62608356	-41.05849377	-42.07105686	-43.53868855	-45.40103131	-47.57467671	-50.24790479	-53.33925669	-39.79702678	-38.46198163	-38.25281312	-38.9217233	-40.35372661	-42.23209009	-44.44401198	-47.02165567	-49.9487402	-35.68576533	-35.604016	-36.83689908	-38.80729174	-41.20588827	-43.8984984	-46.90410902	-32.76151266	-34.82304636	-37.63958086	-40.76229101	-43.9706967
	1700000	-51.67993805	-51.24989799	-51.3403548	-51.87215795	-52.86879297	-49.34520589	-48.61782709	-48.29306983	-48.48776415	-49.0639872	-50.04429562	-51.50724176	-47.91041625	-46.66609834	-46.00656462	-45.82304955	-46.05354423	-46.67380611	-47.70009223	-49.15831622	-51.0891069	-47.23583249	-45.3557835	-44.19388001	-43.63306527	-43.50725615	-43.84530192	-44.57590947	-45.66996574	-47.14491146	-49.06756838	-51.59353756	-44.81742193	-42.99934652	-41.89243357	-41.39483878	-41.38270635	-41.81167355	-42.63779206	-43.84491337	-45.421051	-47.42448525	-49.91223073	-42.61950119	-40.7604072	-39.66729374	-39.20953377	-39.31203641	-39.88491534	-40.86905149	-42.21708013	-43.9259257	-46.01199964	-48.72087043	-40.56678636	-38.53975713	-37.43015082	-37.03677214	-37.26496007	-38.02342008	-39.20903753	-40.79079025	-42.68460647	-44.99857135	-47.87212603	-38.58063722	-36.31046056	-35.09594987	-34.79702043	-35.21799531	-36.23274407	-37.69437326	-39.55183452	-41.71109141	-44.3110745	-47.41555511	-33.98418975	-32.63490827	-32.42426006	-33.10063848	-34.51233275	-36.38595237	-38.60163862	-41.13458803	-44.04172387	-29.85510491	-29.78962709	-31.00575811	-32.96787023	-35.36565836	-38.05741679	-41.03211159	-26.9303027	-28.98885161	-31.81692504	-34.92254422	-38.17095376
	2550000	-48.37114336	-47.94806847	-48.04772493	-48.58412313	-49.61764606	-46.07228926	-45.3061262	-44.98527227	-45.17798338	-45.74754124	-46.74924684	-48.2016826	-44.58256292	-43.33534254	-42.68184365	-42.48548549	-42.73718731	-43.36789703	-44.39029785	-45.83262382	-47.76812711	-43.90262843	-42.01398443	-40.87001311	-40.30433971	-40.18669439	-40.52666539	-41.24420908	-42.33482642	-43.82689755	-45.75325503	-48.29272614	-41.50455722	-39.67555504	-38.57205731	-38.06469755	-38.05983868	-38.48357826	-39.32198767	-40.52543058	-42.10323827	-44.09580304	-46.63319382	-39.30615987	-37.43294209	-36.34601231	-35.88875531	-35.98366956	-36.55934714	-37.54357847	-38.8941961	-40.62264815	-42.72398745	-45.40126268	-37.24122504	-35.22394606	-34.1018454	-33.70518963	-33.94158569	-34.69687683	-35.87982216	-37.45548895	-39.38324373	-41.7083896	-44.54219834	-35.25783049	-32.99023804	-31.77151631	-31.46499617	-31.88674686	-32.89994616	-34.37175389	-36.22611111	-38.38857393	-40.9954911	-44.09824273	-30.66659725	-29.30517618	-29.09000511	-29.77128391	-31.18294194	-33.05169321	-35.28064508	-37.82036671	-40.73170485	-26.51617952	-26.46300316	-27.6709452	-29.63791384	-32.03965442	-34.73559284	-37.70943656	-23.59257649	-25.6541436	-28.48507389	-31.59821484	-34.86243987
	3400000	-46.0525612	-45.63617635	-45.73660417	-46.29105381	-47.32976749	-43.76731749	-42.97933527	-42.66371464	-42.86419141	-43.44705606	-44.45759938	-45.89970541	-42.26687534	-41.01703898	-40.34939777	-40.17452482	-40.41809469	-41.04419447	-42.06470808	-43.51673948	-45.45662608	-41.58455909	-39.69646906	-38.54567769	-37.97134687	-37.85879024	-38.202262	-38.92750916	-40.01162817	-41.49996315	-43.44739221	-45.98215535	-39.17855717	-37.35004968	-36.23923743	-35.73461905	-35.73119764	-36.15492555	-36.99419895	-38.19816308	-39.77942315	-41.77925736	-44.31840799	-36.98271088	-35.10862273	-34.01601642	-33.55649148	-33.65671786	-34.22706832	-35.2126799	-36.56560765	-38.29740286	-40.4117328	-43.08141963	-34.91906164	-32.89793943	-31.77138852	-31.37289888	-31.60785207	-32.36361922	-33.5478449	-35.12627768	-37.06239274	-39.38440439	-42.22214157	-32.94055809	-30.66579615	-29.44293035	-29.1304208	-29.5524861	-30.56558174	-32.03590205	-33.89703494	-36.07601562	-38.67763137	-41.79064906	-28.34135915	-26.97137229	-26.75393495	-27.4433788	-28.84777848	-30.72325606	-32.95006028	-35.49628763	-38.42069886	-24.18930485	-24.13072915	-25.33670243	-27.30521324	-29.70853801	-32.41004468	-35.39710612	-21.25594238	-23.31996304	-26.15522137	-29.27306405	-32.54198536
