BPM Serial No.	16elec																					
BPM Size	110																					
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																					
Meas. Start Time	2016/10/1416:45																					
Meas. Finish Time	2016/10/1417:00																					
Linear Scale Origin X(mm)	-102.6																					
Linear Scale Origin Y(mm)	110.258																					
note																						
																						
																						
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Linear Scale X (mm)		-122.601	-102.602	-82.601	-142.604	-122.604	-102.602	-82.601	-62.599	-142.604	-122.604	-102.602	-82.601	-62.599	-142.604	-122.604	-102.602	-82.601	-62.599	-122.601	-102.602	-82.601
Linear Scale Y (mm)		70.258	70.258	70.258	90.255	90.255	90.255	90.255	90.255	110.255	110.255	110.255	110.255	110.255	130.254	130.254	130.254	130.254	130.254	150.254	150.255	150.255
R(beam)[mm]		20.001	0.002	-19.999	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40.001	20.001	0.002	-19.999
Y(beam)[mm]		-40	-40	-40	-20.003	-20.003	-20.003	-20.003	-20.003	-0.003	-0.003	-0.003	-0.003	-0.003	19.996	19.996	19.996	19.996	19.996	39.996	39.997	39.997
Net Ana Temperature[℃]		24.00315243	23.96896131	23.91819008	23.80997663	23.76392885	23.73788626	23.69273176	23.64433394	23.54646326	23.51082836	23.46637237	23.43845495	23.39828356	23.3019813	23.26446897	23.23969359	23.2373825	23.25574396	23.31443261	23.3050766	23.30731239
BPM Temperature[℃]		21.6492859	21.57044923	21.50166191	21.33528954	21.27296806	21.212698	21.15544015	21.11137367	21.00963386	20.96608673	20.94567645	20.92557777	20.90784212	20.85110361	20.86211374	20.88267982	20.89478058	20.91796936	21.0027785	21.05489483	21.10171384
Frequency (Hz) / Data (dB)	850000	-35.59019182	-33.39161192	-35.57348251	-43.25663652	-39.42745887	-38.10888062	-39.37017192	-43.20491414	-46.26273716	-43.27309364	-42.23557359	-43.17736265	-46.20407732	-50.09898368	-47.36388154	-46.49303477	-47.28555044	-50.00184015	-52.14269369	-51.22001693	-52.14614316
	1700000	-29.77707264	-27.5740517	-29.75756545	-37.42658047	-33.60400278	-32.28207301	-33.56238623	-37.37368652	-40.41674849	-37.43848358	-36.42159	-37.36169894	-40.35712173	-44.20544195	-41.49511482	-40.63633427	-41.44848664	-44.12479989	-46.23096244	-45.35020777	-46.24397169
	2550000	-26.40998555	-24.20353638	-26.39142564	-34.0660811	-30.23602992	-28.91405258	-30.1987575	-34.01503937	-37.04825183	-34.06642715	-33.06017924	-34.00442953	-36.99164888	-40.83499309	-38.12419973	-37.26739503	-38.08820794	-40.75976895	-42.8720187	-41.98515374	-42.87387688
	3400000	-24.02529211	-21.81569139	-24.00515408	-31.68005377	-27.84830415	-26.52510387	-27.81369502	-31.62931214	-34.66220609	-31.67697552	-30.67266808	-31.62063619	-34.60699206	-38.44240137	-35.73581662	-34.88281353	-35.69871418	-38.37311664	-40.48439198	-39.60237029	-40.48459273
	4250000	-22.17163478	-19.9597712	-22.15055312	-29.8302521	-25.99177006	-24.66847715	-25.95917544	-29.77853303	-32.80673617	-29.82118822	-28.81838506	-29.76679103	-32.75213753	-36.5872783	-33.88083656	-33.02508271	-33.8453638	-36.52137581	-38.63560666	-37.75073761	-38.62777794
	5100000	-20.65660317	-18.44132215	-20.63512395	-28.31893927	-24.47511951	-23.14897517	-24.44398768	-28.26784938	-31.29717842	-28.30479481	-27.30295131	-28.25255022	-31.24096663	-35.0825413	-32.36643036	-31.50886328	-32.33427694	-35.01322121	-37.13260049	-36.24572946	-37.12704142
	5950000	-19.36900817	-17.15123444	-19.34688146	-27.03363189	-23.18458492	-21.85604663	-23.15436314	-26.98009242	-30.01079177	-27.01384381	-26.01207225	-26.96342919	-29.95591958	-33.79733326	-31.07693952	-30.21726661	-31.04410564	-33.72687624	-35.85208301	-34.96090495	-35.83977755
	6800000	-18.25021628	-16.0311388	-18.23037681	-25.91999576	-22.06790525	-20.73791414	-22.03682291	-25.8662903	-28.89640739	-25.89586496	-24.89584342	-25.8479945	-28.84002615	-32.68491797	-29.95972279	-29.10048431	-29.92907773	-32.60649243	-34.73693389	-33.85051649	-34.73042012
	7650000	-17.26320809	-15.04333093	-17.23733739	-24.93432126	-21.07606656	-19.73917864	-21.05312734	-24.86833978	-27.90636841	-24.90017975	-23.91586487	-24.84076273	-27.84787106	-31.69168965	-28.96806456	-28.09453951	-28.94552563	-31.63141034	-33.74870609	-32.85134701	-33.73382553
	8500000	-16.34488055	-14.12555107	-16.32264359	-24.01737755	-20.1614827	-18.83343163	-20.13588944	-23.95827692	-26.99364909	-23.99075201	-23.0012192	-23.94719136	-26.93004137	-30.7628259	-28.05784573	-27.19946878	-28.02899294	-30.71200063	-32.83721784	-31.94719372	-32.82534784
	9350000	-15.48811743	-13.27023745	-15.46619087	-23.16097587	-19.31238156	-17.98258069	-19.28422985	-23.10321994	-26.13851845	-23.13673615	-22.15127917	-23.09863184	-26.08168216	-29.91827042	-27.20559695	-26.34781009	-27.17801225	-29.85765771	-31.98259103	-31.09236638	-31.96902567
	10200000	-14.67862905	-12.46272059	-14.65627945	-22.35142015	-18.50869759	-17.18163654	-18.48294119	-22.29521912	-25.33185619	-22.34004007	-21.35311957	-22.30005928	-25.27465415	-29.11175213	-26.40253619	-25.54855255	-26.37470481	-29.0490308	-31.1756796	-30.28982649	-31.16090383
	11050000	-13.91195823	-11.69907238	-13.89011907	-21.58584995	-17.750139	-16.42483234	-17.72479408	-21.53081655	-24.57063553	-21.58452592	-20.59844246	-21.54514218	-24.51369285	-28.34710669	-25.64505591	-24.79276823	-25.6174436	-28.28557904	-30.41360974	-29.52688066	-30.3944309
	11900000	-13.18890427	-10.97697996	-13.16641619	-20.86316847	-17.03369392	-15.71113829	-17.0099155	-20.80955936	-23.850514	-20.87151183	-19.888018	-20.83355808	-23.79409216	-27.62555411	-24.92955714	-24.08046553	-24.90340303	-27.56462999	-29.69055849	-28.80847647	-29.67639633
	12750000	-12.50887447	-10.2996394	-12.4875881	-20.18548658	-16.36259934	-15.04169724	-16.33814605	-20.13205915	-23.17396232	-20.20358653	-19.22135978	-20.1665	-23.12030606	-26.9510536	-24.25914768	-23.41148869	-24.23301934	-26.88761114	-29.01562094	-28.13685189	-29.00080277
	13600000	-11.86791721	-9.660974406	-11.84722527	-19.54868424	-15.72833485	-14.41040394	-15.70992641	-19.49741056	-22.53798278	-19.57194858	-18.59298695	-19.53625894	-22.48384115	-26.30966218	-23.62623909	-22.78138487	-23.60078258	-26.24942724	-28.35684471	-27.49852258	-28.35938089
	14450000	-11.27905801	-9.074149852	-11.25722154	-18.92475063	-15.13556339	-13.82124106	-15.12076717	-18.8980645	-21.94064783	-18.9583544	-18.01109396	-18.94810812	-21.89311708	-25.71623857	-23.04108064	-22.19313688	-22.99180047	-25.65204049	-27.77788449	-26.90052945	-27.73408402
	15300000	-10.73043058	-8.525267453	-10.7093077	-18.40343587	-14.59895593	-13.28455619	-14.58080609	-18.35213644	-21.40616968	-18.44034468	-17.47178046	-18.38692767	-21.35056394	-25.17255722	-22.49958221	-21.63294245	-22.4678147	-25.11048776	-27.23855674	-26.36454025	-27.21606844
	16150000	-10.21983591	-8.015411674	-10.19913481	-17.89562595	-14.09286061	-12.77392175	-14.0702353	-17.84886422	-20.89583829	-17.93390119	-16.96223157	-17.9000653	-20.8375349	-24.66759143	-21.98893923	-21.14126043	-21.96044922	-24.60251435	-26.73100562	-25.86099918	-26.70907627
	17000000	-9.738846972	-7.533393525	-9.718351937	-17.41373211	-13.60965598	-12.29219389	-13.58796075	-17.36522502	-20.41308303	-17.45386381	-16.4789345	-17.41887319	-20.35734958	-24.18474221	-21.50682798	-20.66066243	-21.48026512	-24.12197873	-26.25069307	-25.37820488	-26.22885552
	17850000	-9.286971009	-7.082039832	-9.266723521	-16.96378083	-13.15879287	-11.84218404	-13.13696483	-16.9135611	-19.9621951	-17.0030859	-16.02890609	-16.96971734	-19.90607938	-23.7344846	-21.05644048	-20.21081099	-21.02842408	-23.67102805	-25.80061315	-24.92657691	-25.77777475
	18700000	-8.860496157	-6.655342464	-8.840787001	-16.53761064	-12.73522334	-11.41931605	-12.71387926	-16.48807832	-19.53619572	-16.58024973	-15.60711784	-16.54825877	-19.48224189	-23.3072917	-20.63329663	-19.78845063	-20.60585578	-23.24585083	-25.37551816	-24.50206533	-25.35315055
