BPM Serial No.	16elec																					
BPM Size	110																					
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																					
Meas. Start Time	2016/10/1416:45																					
Meas. Finish Time	2016/10/1417:00																					
Linear Scale Origin X(mm)	-102.6																					
Linear Scale Origin Y(mm)	110.258																					
note																						
																						
																						
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Linear Scale X (mm)		-122.601	-102.602	-82.601	-142.604	-122.604	-102.602	-82.601	-62.599	-142.604	-122.604	-102.602	-82.601	-62.599	-142.604	-122.604	-102.602	-82.601	-62.599	-122.601	-102.602	-82.601
Linear Scale Y (mm)		70.258	70.258	70.258	90.255	90.255	90.255	90.255	90.255	110.255	110.255	110.255	110.255	110.255	130.254	130.254	130.254	130.254	130.254	150.254	150.255	150.255
R(beam)[mm]		20.001	0.002	-19.999	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40.001	20.001	0.002	-19.999
Y(beam)[mm]		-40	-40	-40	-20.003	-20.003	-20.003	-20.003	-20.003	-0.003	-0.003	-0.003	-0.003	-0.003	19.996	19.996	19.996	19.996	19.996	39.996	39.997	39.997
Net Ana Temperature[℃]		24.01647624	23.9776214	23.92565048	23.83773046	23.77480135	23.74486367	23.69762399	23.66625552	23.5418281	23.50659569	23.4676993	23.44280187	23.43410283	23.31350299	23.2832511	23.25573877	23.25101272	23.24054531	23.3162737	23.30707349	23.33260971
BPM Temperature[℃]		21.64591015	21.58808102	21.51256816	21.35388211	21.28995066	21.23066736	21.17239678	21.12204622	21.02910932	20.97813555	20.94346923	20.93012205	20.91851467	20.85717995	20.85346663	20.87208517	20.888886	20.91516489	20.99254739	21.0478577	21.09529992
Frequency (Hz) / Data (dB)	850000	-52.44762783	-51.59912217	-52.46727271	-50.35015719	-47.62480774	-46.77249028	-47.6269691	-50.28221881	-46.53875311	-43.52787294	-42.48598875	-43.49050819	-46.45078668	-43.52367449	-39.68098253	-38.34766497	-39.6374212	-43.35748153	-35.84400709	-33.6339676	-35.79100213
	1700000	-46.54732859	-45.67696636	-46.52808789	-44.45918455	-41.77596884	-40.92172385	-41.75394987	-44.40453749	-40.69116542	-37.7041378	-36.68760024	-37.66098131	-40.60719084	-37.70692866	-33.87452476	-32.54188933	-33.8245065	-37.57239787	-30.05153513	-27.83156221	-29.99123503
	2550000	-43.18599838	-42.29808981	-43.15279466	-41.10001409	-38.40519416	-37.55379068	-38.37158279	-41.03658478	-37.32741722	-34.3385577	-33.32563894	-34.29651048	-37.23625859	-34.34385889	-30.50804272	-29.17344576	-30.45855194	-34.21176019	-26.69012613	-24.46580013	-26.62397453
	3400000	-40.80030612	-39.91270047	-40.76737177	-38.72024066	-36.01813515	-35.16234512	-35.9904097	-38.65797905	-34.94877318	-31.95587961	-30.94214209	-31.91098533	-34.85789701	-31.967262	-28.12415139	-26.7872422	-28.07555248	-31.83613797	-24.30502086	-22.07891547	-24.24215773
	4250000	-38.94578429	-38.06902379	-38.91643351	-36.86943398	-34.17154871	-33.31254726	-34.13561837	-36.80867732	-33.094533	-30.10273973	-29.09201203	-30.05731391	-33.00934974	-30.1175233	-26.26944894	-24.93304089	-26.22200981	-29.98768613	-22.45307786	-20.22501831	-22.38936697
	5100000	-37.43885313	-36.55218799	-37.40530489	-35.36765927	-32.65236012	-31.79298227	-32.61925271	-35.29520929	-31.58398184	-28.58422837	-27.57615962	-28.54007645	-31.49197978	-28.60349798	-24.75190653	-23.41269068	-24.7048604	-28.47643875	-20.93845447	-18.70635628	-20.87281638
	5950000	-36.16237162	-35.26962687	-36.12232125	-34.08272251	-31.3666513	-30.50654506	-31.33056223	-34.01437415	-30.29716024	-27.29485371	-26.28747205	-27.25047149	-30.20929956	-27.31838988	-23.46202118	-22.11974266	-23.41307142	-27.19554315	-19.65019354	-17.41607308	-19.58497558
	6800000	-35.03437972	-34.15799675	-35.01100004	-32.9709187	-30.25072715	-29.38945121	-30.21583535	-32.89703099	-29.18328533	-26.17759741	-25.16799355	-26.1329937	-29.09445369	-26.20291528	-22.33605079	-21.00137479	-22.27994536	-26.0808418	-18.53418268	-16.29879098	-18.4673278
	7650000	-34.04213985	-33.166667	-34.02694736	-31.98956139	-29.25664022	-28.39712944	-29.22584155	-31.88703674	-28.19425949	-25.18023745	-24.17611731	-25.12374081	-28.09993971	-25.21171114	-21.3577435	-20.01081532	-21.30099693	-25.09164346	-17.54076366	-15.30534482	-17.46470818
	8500000	-33.14110573	-32.25583315	-33.11106416	-31.07407676	-28.35169056	-27.48931951	-28.31551992	-30.9882333	-27.28435211	-24.27560745	-23.27283401	-24.22923534	-27.19413319	-24.3007956	-20.44192974	-19.10050434	-20.38594057	-24.18078302	-16.62595842	-14.38764569	-16.55726974
	9350000	-32.29030655	-31.40134652	-32.25429023	-30.21810339	-27.49979005	-26.6371843	-27.46405733	-30.13425099	-26.42904742	-23.42687323	-22.42421014	-23.38162188	-26.33659471	-23.44497105	-19.58971202	-18.24950435	-19.5396384	-23.32599753	-15.77202423	-13.5330955	-15.70116493
	10200000	-31.48272824	-30.59924179	-31.45060761	-29.40957662	-26.69743883	-25.83791152	-26.66305576	-29.33122178	-25.62170606	-22.62547566	-21.62577731	-22.58242898	-25.53184718	-22.63505476	-18.78755893	-17.44968213	-18.73783509	-22.52077589	-14.96259768	-12.72718723	-14.89370739
	11050000	-30.72085291	-29.83791347	-30.68377865	-28.64594081	-25.94043056	-25.08298896	-25.90577521	-28.56730863	-24.86222468	-21.87097794	-20.87542397	-21.82802116	-24.77172329	-21.87047759	-18.02978651	-16.69315066	-17.98099502	-21.75718304	-14.19758709	-11.96423075	-14.12887793
	11900000	-30.00123003	-29.11720669	-29.96550731	-27.92555412	-25.22481275	-24.37102873	-25.19095336	-27.84737337	-24.14042832	-21.15882562	-20.16491477	-21.11505006	-24.05247753	-21.14934693	-17.3142459	-15.98002071	-17.26525834	-21.036161	-13.47416091	-11.24255089	-13.40528028
	12750000	-29.31948266	-28.44219936	-29.2854024	-27.24641114	-24.5551903	-23.70204581	-24.5202642	-27.16798873	-23.46463865	-20.48730338	-19.4966348	-20.44461014	-23.37704748	-20.46940671	-16.64061525	-15.30890126	-16.59351174	-20.35881193	-12.79417494	-10.564854	-12.72544314
	13600000	-28.68319274	-27.80962676	-28.64806864	-26.61247167	-23.92290612	-23.0714848	-23.88969044	-26.53016198	-22.8289209	-19.8590951	-18.86954512	-19.81600694	-22.74128991	-19.83197791	-16.00849111	-14.67862507	-15.96047115	-19.69750178	-12.15400508	-9.925577865	-12.08599095
	14450000	-28.08960526	-27.18622669	-28.04869437	-26.01472345	-23.33392105	-22.48318348	-23.29795935	-25.93877425	-22.21058104	-19.24627934	-18.2521483	-19.22513987	-22.12079212	-19.23474227	-15.41685545	-14.09391633	-15.37298176	-19.11708033	-11.5258362	-9.328613558	-11.46646065
	15300000	-27.54647128	-26.66578487	-27.512505	-25.47152948	-22.79904753	-21.94452815	-22.76097817	-25.39786847	-21.69249776	-18.7255184	-17.74168982	-18.68786666	-21.60097524	-18.69240342	-14.87615011	-13.55223401	-14.83469147	-18.57540047	-11.00597123	-8.787091409	-10.94233129
	16150000	-27.04015986	-26.16296	-27.00422565	-24.96458308	-22.28979536	-21.43933421	-22.2506891	-24.88921807	-21.18585781	-18.22432286	-17.23652155	-18.1849186	-21.09488094	-18.18821207	-14.36903482	-13.04375516	-14.32537808	-18.06927995	-10.49493188	-8.280697845	-10.433464
	17000000	-26.5603461	-25.67967253	-26.52405018	-24.48397995	-21.80678761	-20.95687163	-21.77054108	-24.40732857	-20.7035635	-17.74235016	-16.75575403	-17.70157458	-20.61441318	-17.70579996	-13.88685513	-12.56073211	-13.84243475	-17.59099607	-10.01965075	-7.796628719	-9.952798476
	17850000	-26.10608767	-25.22864573	-26.07011749	-24.03032145	-21.35433751	-20.50497371	-21.31871895	-23.95424056	-20.25197917	-17.2913343	-16.30518454	-17.25023228	-20.16336241	-17.25405735	-13.43563711	-12.11032939	-13.39131305	-17.14104752	-9.569282545	-7.344666885	-9.502033887
	18700000	-25.67852912	-24.80092301	-25.64284137	-23.60354778	-20.9313288	-20.08174268	-20.89474179	-23.5274286	-19.82680201	-16.86845054	-15.88447402	-16.82738321	-19.73983094	-16.82775907	-13.01229025	-11.68693725	-12.96805954	-16.71633364	-9.143611637	-6.91866247	-9.076811482
